model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8f2p-model-1_A_Z,0.163,0.374,0.98
2,8f2p-model-2_A_Z,11.814,31.694,0.04
3,8f2p-model-3_A_Z,12.49,42.283,0.0
4,8f2p-model-4_A_Z,10.829,30.795,0.0
5,8f2p-model-5_A_Z,9.359,16.246,0.02
6,8f2p-model-6_A_Z,11.327,40.581,0.02
7,8f2p-model-7_A_Z,12.309,41.619,0.0
8,8f2p-model-8_A_Z,4.048,8.962,0.12
9,8f2p-model-9_A_Z,11.411,32.397,0.04
10,8f2p-model-10_A_Z,14.102,34.794,0.0
11,8f2p-model-11_A_Z,12.722,41.714,0.0
12,8f2p-model-12_A_Z,12.859,36.918,0.0
13,8f2p-model-13_A_Z,9.274,15.8,0.04
14,8f2p-model-14_A_Z,1.449,5.178,0.54
15,8f2p-model-15_A_Z,12.107,39.074,0.0
16,8f2p-model-16_A_Z,12.922,32.955,0.0
17,8f2p-model-17_A_Z,13.671,43.477,0.0
18,8f2p-model-18_A_Z,17.24,47.665,0.0
19,8f2p-model-19_A_Z,13.388,34.385,0.0
20,8f2p-model-20_A_Z,11.021,32.282,0.0
21,8f2p-model-21_A_Z,12.781,42.805,0.0
22,8f2p-model-22_A_Z,12.167,41.529,0.0
23,8f2p-model-23_A_Z,8.827,16.415,0.06
24,8f2p-model-24_A_Z,9.999,31.846,0.0
25,8f2p-model-25_A_Z,14.264,37.546,0.0
26,8f2p-model-26_A_Z,10.717,16.673,0.06
27,8f2p-model-27_A_Z,12.739,44.758,0.0
28,8f2p-model-28_A_Z,3.602,10.536,0.14
29,8f2p-model-29_A_Z,13.464,36.281,0.0
30,8f2p-model-30_A_Z,13.977,41.563,0.0
31,8f2p-model-31_A_Z,10.317,33.972,0.08
32,8f2p-model-32_A_Z,12.761,32.269,0.04
33,8f2p-model-33_A_Z,8.555,15.524,0.0
34,8f2p-model-34_A_Z,13.267,32.96,0.0
35,8f2p-model-35_A_Z,8.672,26.349,0.06
36,8f2p-model-36_A_Z,9.41,32.048,0.0
37,8f2p-model-37_A_Z,13.265,33.819,0.0
38,8f2p-model-38_A_Z,11.275,19.081,0.12
39,8f2p-model-39_A_Z,16.699,49.206,0.0
40,8f2p-model-40_A_Z,10.821,30.441,0.0
41,8f2p-model-41_A_Z,9.751,31.299,0.0
42,8f2p-model-42_A_Z,14.42,39.25,0.0
43,8f2p-model-43_A_Z,17.824,53.099,0.0
44,8f2p-model-44_A_Z,9.66,30.967,0.1
45,8f2p-model-45_A_Z,14.111,35.326,0.0
46,8f2p-model-46_A_Z,14.026,43.574,0.0
47,8f2p-model-47_A_Z,11.781,33.082,0.0
48,8f2p-model-48_A_Z,8.811,30.177,0.0
49,8f2p-model-49_A_Z,12.208,34.492,0.0
50,8f2p-model-50_A_Z,12.785,33.875,0.0
51,8f2p-model-51_A_Z,10.89,31.512,0.02
