model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8emz-model-1_A_Z,0.154,0.634,1.0
2,8emz-model-2_A_Z,16.327,44.943,0.0
3,8emz-model-3_A_Z,21.802,56.267,0.0
4,8emz-model-4_A_Z,15.953,47.479,0.0
5,8emz-model-5_A_Z,20.235,56.453,0.0
6,8emz-model-6_A_Z,16.279,46.648,0.0
7,8emz-model-7_A_Z,14.35,44.091,0.0
8,8emz-model-8_A_Z,14.743,48.941,0.0
9,8emz-model-9_A_Z,13.983,50.606,0.0
10,8emz-model-10_A_Z,12.807,53.376,0.0
11,8emz-model-11_A_Z,16.53,43.437,0.0
12,8emz-model-12_A_Z,14.574,44.213,0.0
13,8emz-model-13_A_Z,15.011,47.61,0.0
14,8emz-model-14_A_Z,14.622,49.943,0.0
15,8emz-model-15_A_Z,16.678,51.963,0.0
16,8emz-model-16_A_Z,18.048,53.81,0.0
17,8emz-model-17_A_Z,15.696,42.835,0.0
18,8emz-model-18_A_Z,12.93,42.151,0.0
19,8emz-model-19_A_Z,20.767,60.736,0.0
20,8emz-model-20_A_Z,19.546,54.704,0.0
21,8emz-model-21_A_Z,13.425,42.632,0.0
22,8emz-model-22_A_Z,13.462,44.988,0.0
23,8emz-model-23_A_Z,15.211,46.042,0.0
24,8emz-model-24_A_Z,12.693,41.192,0.0
25,8emz-model-25_A_Z,12.044,44.749,0.0
26,8emz-model-26_A_Z,13.534,46.118,0.0
27,8emz-model-27_A_Z,18.809,62.944,0.0
28,8emz-model-28_A_Z,27.733,79.743,0.0
29,8emz-model-29_A_Z,16.742,56.654,0.0
30,8emz-model-30_A_Z,14.452,47.76,0.0
31,8emz-model-31_A_Z,14.264,44.336,0.0
32,8emz-model-32_A_Z,27.295,80.251,0.0
33,8emz-model-33_A_Z,24.64,82.766,0.0
34,8emz-model-34_A_Z,16.58,56.366,0.0
35,8emz-model-35_A_Z,16.211,41.246,0.0
36,8emz-model-36_A_Z,18.954,60.692,0.0
37,8emz-model-37_A_Z,16.683,58.887,0.0
38,8emz-model-38_A_Z,18.015,52.603,0.0
39,8emz-model-39_A_Z,15.756,61.98,0.0
40,8emz-model-40_A_Z,13.305,40.249,0.0
41,8emz-model-41_A_Z,15.934,42.777,0.0
42,8emz-model-42_A_Z,12.476,37.296,0.0
43,8emz-model-43_A_Z,17.494,45.961,0.0
44,8emz-model-44_A_Z,14.136,41.111,0.0
45,8emz-model-45_A_Z,13.406,49.587,0.0
46,8emz-model-46_A_Z,15.363,45.447,0.0
47,8emz-model-47_A_Z,15.013,53.966,0.0
48,8emz-model-48_A_Z,15.527,53.004,0.0
49,8emz-model-49_A_Z,14.667,39.972,0.0
50,8emz-model-50_A_Z,16.032,49.779,0.0
51,8emz-model-51_A_Z,14.86,53.684,0.0
52,8emz-model-52_A_Z,16.509,47.244,0.0
53,8emz-model-53_A_Z,15.402,44.892,0.0
54,8emz-model-54_A_Z,19.125,56.011,0.0
55,8emz-model-55_A_Z,13.81,54.013,0.0
56,8emz-model-56_A_Z,14.819,54.675,0.0
57,8emz-model-57_A_Z,12.469,45.113,0.0
58,8emz-model-58_A_Z,17.657,50.187,0.0
59,8emz-model-59_A_Z,12.674,55.591,0.0
60,8emz-model-60_A_Z,16.044,50.72,0.0
61,8emz-model-61_A_Z,16.353,48.2,0.0
62,8emz-model-62_A_Z,26.678,82.934,0.0
63,8emz-model-63_A_Z,20.345,55.519,0.0
64,8emz-model-64_A_Z,26.269,80.609,0.0
65,8emz-model-65_A_Z,18.001,50.109,0.0
66,8emz-model-66_A_Z,24.111,64.457,0.0
67,8emz-model-67_A_Z,14.036,57.494,0.0
68,8emz-model-68_A_Z,13.515,40.104,0.0
69,8emz-model-69_A_Z,15.235,60.201,0.0
70,8emz-model-70_A_Z,16.458,47.187,0.0
71,8emz-model-71_A_Z,16.315,59.607,0.0
72,8emz-model-72_A_Z,10.827,43.009,0.04878
73,8emz-model-73_A_Z,17.848,52.828,0.0
74,8emz-model-74_A_Z,16.557,48.807,0.0
75,8emz-model-75_A_Z,18.921,47.948,0.0
76,8emz-model-76_A_Z,18.267,50.299,0.0
77,8emz-model-77_A_Z,12.147,50.262,0.0
78,8emz-model-78_A_Z,13.442,42.162,0.0
79,8emz-model-79_A_Z,15.119,46.277,0.0
80,8emz-model-80_A_Z,13.387,52.367,0.0
81,8emz-model-81_A_Z,14.725,31.965,0.0
82,8emz-model-82_A_Z,17.981,46.71,0.0
83,8emz-model-83_A_Z,15.996,56.42,0.0
84,8emz-model-84_A_Z,27.52,80.117,0.0
85,8emz-model-85_A_Z,13.627,44.0,0.0
86,8emz-model-86_A_Z,16.929,41.337,0.0
87,8emz-model-87_A_Z,16.496,54.082,0.0
88,8emz-model-88_A_Z,14.309,54.136,0.0
89,8emz-model-89_A_Z,14.628,52.525,0.02439
90,8emz-model-90_A_Z,17.193,47.322,0.0
91,8emz-model-91_A_Z,15.115,48.02,0.0
92,8emz-model-92_A_Z,16.36,37.957,0.0
93,8emz-model-93_A_Z,13.01,54.522,0.0
94,8emz-model-94_A_Z,14.328,38.392,0.0
95,8emz-model-95_A_Z,20.386,49.007,0.0
96,8emz-model-96_A_Z,13.665,37.42,0.0
97,8emz-model-97_A_Z,24.471,64.176,0.0
98,8emz-model-98_A_Z,13.681,56.31,0.0
99,8emz-model-99_A_Z,17.746,60.187,0.0
100,8emz-model-100_A_Z,17.872,45.2,0.0
