model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8bqg-model-1_A_Z,0.199,0.428,0.912281
2,8bqg-model-2_A_Z,2.157,5.433,0.327485
3,8bqg-model-3_A_Z,18.018,32.201,0.0
4,8bqg-model-4_A_Z,23.852,55.758,0.0
5,8bqg-model-5_A_Z,29.851,75.846,0.0
6,8bqg-model-6_A_Z,26.126,67.565,0.0
7,8bqg-model-7_A_Z,16.848,29.11,0.0
8,8bqg-model-8_A_Z,20.912,55.968,0.0
9,8bqg-model-9_A_Z,28.135,73.842,0.0
10,8bqg-model-10_A_Z,20.909,46.928,0.0
11,8bqg-model-11_A_Z,21.389,46.869,0.0
12,8bqg-model-12_A_Z,12.834,22.806,0.023392
13,8bqg-model-13_A_Z,18.376,41.713,0.0
14,8bqg-model-14_A_Z,23.369,54.713,0.0
15,8bqg-model-15_A_Z,16.077,28.575,0.0
16,8bqg-model-16_A_Z,28.877,78.203,0.0
17,8bqg-model-17_A_Z,24.596,58.245,0.0
18,8bqg-model-18_A_Z,14.476,38.323,0.0
19,8bqg-model-19_A_Z,24.901,63.151,0.0
20,8bqg-model-20_A_Z,15.364,28.971,0.0
21,8bqg-model-21_A_Z,29.727,75.288,0.0
22,8bqg-model-22_A_Z,17.829,30.327,0.011696
23,8bqg-model-23_A_Z,23.287,60.111,0.0
24,8bqg-model-24_A_Z,29.679,67.39,0.0
25,8bqg-model-25_A_Z,18.166,32.511,0.0
26,8bqg-model-26_A_Z,23.244,56.901,0.0
27,8bqg-model-27_A_Z,29.245,71.334,0.0
28,8bqg-model-28_A_Z,28.991,76.479,0.0
29,8bqg-model-29_A_Z,14.559,36.577,0.017544
30,8bqg-model-30_A_Z,26.827,69.426,0.0
31,8bqg-model-31_A_Z,21.199,58.687,0.0
32,8bqg-model-32_A_Z,30.97,86.075,0.0
33,8bqg-model-33_A_Z,9.884,17.766,0.02924
34,8bqg-model-34_A_Z,14.219,30.987,0.011696
35,8bqg-model-35_A_Z,19.119,29.744,0.046784
36,8bqg-model-36_A_Z,29.436,88.467,0.0
