model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8i5v-model-1_A_Z,0.122,0.336,0.976378
2,8i5v-model-2_A_Z,19.519,41.8,0.0
3,8i5v-model-3_A_Z,11.255,19.976,0.094488
4,8i5v-model-4_A_Z,18.165,36.078,0.007874
5,8i5v-model-5_A_Z,28.633,65.752,0.0
6,8i5v-model-6_A_Z,12.571,24.344,0.0
7,8i5v-model-7_A_Z,23.19,54.896,0.0
8,8i5v-model-8_A_Z,15.363,25.51,0.0
9,8i5v-model-9_A_Z,12.453,18.575,0.0
10,8i5v-model-10_A_Z,20.391,49.557,0.0
11,8i5v-model-11_A_Z,18.538,37.79,0.0
12,8i5v-model-12_A_Z,17.071,26.761,0.0
13,8i5v-model-13_A_Z,17.367,43.412,0.0
14,8i5v-model-14_A_Z,19.355,38.06,0.0
15,8i5v-model-15_A_Z,25.889,56.504,0.0
16,8i5v-model-16_A_Z,19.227,45.964,0.0
17,8i5v-model-17_A_Z,15.402,22.938,0.0
18,8i5v-model-18_A_Z,22.611,55.827,0.0
19,8i5v-model-19_A_Z,15.021,34.03,0.0
20,8i5v-model-20_A_Z,24.243,56.618,0.0
21,8i5v-model-21_A_Z,19.677,40.026,0.0
22,8i5v-model-22_A_Z,19.51,38.296,0.0
23,8i5v-model-23_A_Z,21.52,51.904,0.0
24,8i5v-model-24_A_Z,24.114,59.899,0.0
25,8i5v-model-25_A_Z,17.81,31.261,0.03937
26,8i5v-model-26_A_Z,19.606,40.732,0.0
27,8i5v-model-27_A_Z,19.019,38.355,0.0
28,8i5v-model-28_A_Z,16.562,27.821,0.0
29,8i5v-model-29_A_Z,22.868,57.4,0.0
30,8i5v-model-30_A_Z,17.236,31.192,0.0
31,8i5v-model-31_A_Z,21.705,50.15,0.0
32,8i5v-model-32_A_Z,25.005,52.777,0.0
33,8i5v-model-33_A_Z,12.893,22.769,0.0
34,8i5v-model-34_A_Z,23.397,59.796,0.0
35,8i5v-model-35_A_Z,20.15,56.67,0.0
36,8i5v-model-36_A_Z,21.504,48.787,0.0
37,8i5v-model-37_A_Z,12.709,24.646,0.0
38,8i5v-model-38_A_Z,13.547,27.816,0.0
39,8i5v-model-39_A_Z,20.718,40.924,0.0
40,8i5v-model-40_A_Z,17.019,31.876,0.0
41,8i5v-model-41_A_Z,19.709,42.477,0.0
42,8i5v-model-42_A_Z,12.062,24.247,0.007874
43,8i5v-model-43_A_Z,11.463,19.683,0.023622
44,8i5v-model-44_A_Z,19.657,43.148,0.0
45,8i5v-model-45_A_Z,21.633,45.218,0.0
46,8i5v-model-46_A_Z,22.732,54.426,0.0
47,8i5v-model-47_A_Z,26.498,62.675,0.0
48,8i5v-model-48_A_Z,14.705,31.028,0.0
49,8i5v-model-49_A_Z,26.24,57.602,0.0
50,8i5v-model-50_A_Z,16.74,38.365,0.0
51,8i5v-model-51_A_Z,17.795,33.773,0.0
52,8i5v-model-52_A_Z,20.029,37.309,0.007874
53,8i5v-model-53_A_Z,22.91,59.715,0.0
54,8i5v-model-54_A_Z,16.178,30.195,0.007874
55,8i5v-model-55_A_Z,17.003,35.738,0.0
56,8i5v-model-56_A_Z,24.323,57.6,0.0
57,8i5v-model-57_A_Z,19.967,36.978,0.0
58,8i5v-model-58_A_Z,17.96,40.38,0.0
59,8i5v-model-59_A_Z,18.816,39.462,0.0
60,8i5v-model-60_A_Z,16.345,29.471,0.0
61,8i5v-model-61_A_Z,14.81,27.534,0.0
62,8i5v-model-62_A_Z,12.067,29.381,0.0
63,8i5v-model-63_A_Z,24.669,55.458,0.0
64,8i5v-model-64_A_Z,14.388,22.712,0.007874
65,8i5v-model-65_A_Z,23.696,57.661,0.0
66,8i5v-model-66_A_Z,21.275,41.275,0.0
67,8i5v-model-67_A_Z,16.118,25.655,0.0
68,8i5v-model-68_A_Z,19.076,39.101,0.0
69,8i5v-model-69_A_Z,22.113,49.279,0.0
70,8i5v-model-70_A_Z,13.578,23.581,0.0
71,8i5v-model-71_A_Z,13.865,25.202,0.0
72,8i5v-model-72_A_Z,22.518,50.297,0.0
73,8i5v-model-73_A_Z,17.345,38.486,0.0
74,8i5v-model-74_A_Z,18.643,41.802,0.0
75,8i5v-model-75_A_Z,23.558,55.984,0.0
76,8i5v-model-76_A_Z,13.342,26.163,0.0
77,8i5v-model-77_A_Z,16.367,29.912,0.0
78,8i5v-model-78_A_Z,15.365,26.762,0.0
79,8i5v-model-79_A_Z,21.867,45.819,0.0
80,8i5v-model-80_A_Z,16.368,36.241,0.0
81,8i5v-model-81_A_Z,22.58,42.485,0.0
82,8i5v-model-82_A_Z,23.386,60.891,0.0
83,8i5v-model-83_A_Z,18.705,45.162,0.0
84,8i5v-model-84_A_Z,22.179,57.479,0.0
85,8i5v-model-85_A_Z,18.58,40.563,0.0
86,8i5v-model-86_A_Z,24.582,57.439,0.0
87,8i5v-model-87_A_Z,14.037,27.054,0.0
88,8i5v-model-88_A_Z,17.647,33.06,0.0
89,8i5v-model-89_A_Z,18.569,38.722,0.0
90,8i5v-model-90_A_Z,26.022,57.2,0.0
91,8i5v-model-91_A_Z,14.48,32.205,0.0
92,8i5v-model-92_A_Z,16.474,27.573,0.0
93,8i5v-model-93_A_Z,23.214,58.084,0.0
94,8i5v-model-94_A_Z,19.899,38.162,0.0
95,8i5v-model-95_A_Z,23.792,57.629,0.0
96,8i5v-model-96_A_Z,25.805,60.125,0.0
97,8i5v-model-97_A_Z,25.155,62.962,0.0
98,8i5v-model-98_A_Z,24.677,55.07,0.0
99,8i5v-model-99_A_Z,15.51,23.234,0.0
100,8i5v-model-100_A_Z,23.621,58.427,0.0
