model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8f0s-model-1_A_Z,0.24,0.528,0.892308
2,8f0s-model-2_A_Z,16.926,43.133,0.0
3,8f0s-model-3_A_Z,13.772,35.412,0.0
4,8f0s-model-4_A_Z,24.44,69.977,0.0
5,8f0s-model-5_A_Z,17.088,43.589,0.0
6,8f0s-model-6_A_Z,23.577,68.727,0.0
7,8f0s-model-7_A_Z,25.858,70.556,0.0
8,8f0s-model-8_A_Z,25.068,70.439,0.0
9,8f0s-model-9_A_Z,26.651,73.364,0.0
10,8f0s-model-10_A_Z,13.34,35.184,0.0
11,8f0s-model-11_A_Z,27.312,75.378,0.0
12,8f0s-model-12_A_Z,23.134,60.806,0.0
13,8f0s-model-13_A_Z,19.807,49.996,0.0
14,8f0s-model-14_A_Z,27.24,78.565,0.0
15,8f0s-model-15_A_Z,13.956,39.312,0.0
16,8f0s-model-16_A_Z,17.173,43.788,0.0
17,8f0s-model-17_A_Z,16.195,43.097,0.0
18,8f0s-model-18_A_Z,27.235,80.732,0.0
19,8f0s-model-19_A_Z,24.853,70.139,0.0
20,8f0s-model-20_A_Z,18.604,45.339,0.0
21,8f0s-model-21_A_Z,24.248,73.06,0.0
22,8f0s-model-22_A_Z,26.428,71.884,0.0
23,8f0s-model-23_A_Z,13.305,36.708,0.0
24,8f0s-model-24_A_Z,23.392,63.081,0.0
25,8f0s-model-25_A_Z,21.358,53.373,0.0
26,8f0s-model-26_A_Z,13.956,31.905,0.0
27,8f0s-model-27_A_Z,14.051,35.061,0.0
28,8f0s-model-28_A_Z,25.631,69.715,0.0
29,8f0s-model-29_A_Z,21.238,52.039,0.0
30,8f0s-model-30_A_Z,12.893,31.451,0.0
31,8f0s-model-31_A_Z,24.274,69.95,0.0
32,8f0s-model-32_A_Z,15.166,41.501,0.0
33,8f0s-model-33_A_Z,27.046,67.596,0.0
34,8f0s-model-34_A_Z,14.393,39.955,0.0
35,8f0s-model-35_A_Z,29.701,80.742,0.0
36,8f0s-model-36_A_Z,29.824,80.496,0.0
37,8f0s-model-37_A_Z,14.591,39.898,0.0
38,8f0s-model-38_A_Z,26.684,73.942,0.0
39,8f0s-model-39_A_Z,14.532,40.963,0.046154
40,8f0s-model-40_A_Z,17.177,45.697,0.0
41,8f0s-model-41_A_Z,17.825,45.108,0.0
42,8f0s-model-42_A_Z,24.295,68.643,0.0
43,8f0s-model-43_A_Z,17.154,43.548,0.0
44,8f0s-model-44_A_Z,27.281,75.305,0.0
45,8f0s-model-45_A_Z,14.779,40.349,0.0
46,8f0s-model-46_A_Z,18.914,48.437,0.0
47,8f0s-model-47_A_Z,9.822,25.25,0.0
48,8f0s-model-48_A_Z,23.772,68.855,0.0
49,8f0s-model-49_A_Z,25.65,71.064,0.0
50,8f0s-model-50_A_Z,27.762,76.642,0.0
51,8f0s-model-51_A_Z,20.052,54.095,0.0
52,8f0s-model-52_A_Z,15.561,40.14,0.0
53,8f0s-model-53_A_Z,14.42,40.642,0.0
54,8f0s-model-54_A_Z,27.502,75.477,0.0
55,8f0s-model-55_A_Z,26.816,79.961,0.0
56,8f0s-model-56_A_Z,10.842,27.073,0.0
57,8f0s-model-57_A_Z,12.117,29.659,0.0
58,8f0s-model-58_A_Z,29.655,80.622,0.0
59,8f0s-model-59_A_Z,17.788,44.435,0.0
60,8f0s-model-60_A_Z,17.022,44.612,0.0
61,8f0s-model-61_A_Z,29.24,83.235,0.0
62,8f0s-model-62_A_Z,19.638,50.353,0.0
63,8f0s-model-63_A_Z,24.72,73.786,0.0
64,8f0s-model-64_A_Z,27.889,78.309,0.0
65,8f0s-model-65_A_Z,23.182,62.074,0.0
66,8f0s-model-66_A_Z,14.65,39.306,0.0
67,8f0s-model-67_A_Z,26.721,74.294,0.0
68,8f0s-model-68_A_Z,22.782,54.996,0.0
69,8f0s-model-69_A_Z,23.992,65.8,0.0
70,8f0s-model-70_A_Z,24.891,68.615,0.0
71,8f0s-model-71_A_Z,27.112,75.864,0.0
72,8f0s-model-72_A_Z,27.677,74.39,0.0
73,8f0s-model-73_A_Z,23.339,64.971,0.0
74,8f0s-model-74_A_Z,18.481,48.037,0.0
75,8f0s-model-75_A_Z,18.463,45.618,0.0
76,8f0s-model-76_A_Z,28.713,84.406,0.0
77,8f0s-model-77_A_Z,24.95,70.377,0.0
78,8f0s-model-78_A_Z,24.514,65.706,0.0
79,8f0s-model-79_A_Z,23.387,68.551,0.0
80,8f0s-model-80_A_Z,18.032,47.085,0.0
81,8f0s-model-81_A_Z,25.776,71.594,0.0
82,8f0s-model-82_A_Z,23.602,70.062,0.0
83,8f0s-model-83_A_Z,29.458,82.029,0.0
84,8f0s-model-84_A_Z,27.79,77.914,0.0
85,8f0s-model-85_A_Z,18.255,51.183,0.0
86,8f0s-model-86_A_Z,17.59,44.77,0.0
87,8f0s-model-87_A_Z,27.147,74.123,0.0
88,8f0s-model-88_A_Z,25.273,71.545,0.0
89,8f0s-model-89_A_Z,17.388,43.308,0.0
90,8f0s-model-90_A_Z,26.157,76.474,0.0
91,8f0s-model-91_A_Z,18.867,46.951,0.0
92,8f0s-model-92_A_Z,25.075,73.21,0.0
93,8f0s-model-93_A_Z,26.28,72.316,0.0
94,8f0s-model-94_A_Z,26.036,73.079,0.0
95,8f0s-model-95_A_Z,26.359,76.489,0.0
96,8f0s-model-96_A_Z,15.996,43.097,0.0
97,8f0s-model-97_A_Z,26.533,78.854,0.0
98,8f0s-model-98_A_Z,29.948,84.031,0.0
99,8f0s-model-99_A_Z,22.653,57.456,0.0
100,8f0s-model-100_A_Z,25.834,73.614,0.0
