model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8i2e-model-1_A_Z,0.214,0.62,0.95
2,8i2e-model-2_A_Z,14.667,26.48,0.0125
3,8i2e-model-3_A_Z,11.101,26.727,0.025
4,8i2e-model-4_A_Z,9.741,25.963,0.0
5,8i2e-model-5_A_Z,19.673,52.075,0.0
6,8i2e-model-6_A_Z,11.818,24.839,0.0
7,8i2e-model-7_A_Z,12.234,22.814,0.025
8,8i2e-model-8_A_Z,12.417,28.474,0.0
9,8i2e-model-9_A_Z,14.32,26.55,0.025
10,8i2e-model-10_A_Z,9.584,20.985,0.0
11,8i2e-model-11_A_Z,14.649,24.247,0.0
12,8i2e-model-12_A_Z,16.461,50.955,0.0
13,8i2e-model-13_A_Z,15.042,29.128,0.0
14,8i2e-model-14_A_Z,18.201,46.601,0.0
15,8i2e-model-15_A_Z,13.508,26.073,0.0375
16,8i2e-model-16_A_Z,10.791,21.564,0.05
17,8i2e-model-17_A_Z,19.85,51.762,0.0
18,8i2e-model-18_A_Z,16.373,50.467,0.0
19,8i2e-model-19_A_Z,20.041,52.034,0.0
20,8i2e-model-20_A_Z,16.277,50.143,0.0
21,8i2e-model-21_A_Z,15.317,28.707,0.0
22,8i2e-model-22_A_Z,14.503,27.585,0.0
23,8i2e-model-23_A_Z,14.183,24.399,0.0
24,8i2e-model-24_A_Z,15.52,28.366,0.0125
25,8i2e-model-25_A_Z,13.48,26.299,0.0
26,8i2e-model-26_A_Z,11.351,31.659,0.0
27,8i2e-model-27_A_Z,16.167,51.506,0.0
28,8i2e-model-28_A_Z,15.454,30.033,0.0
29,8i2e-model-29_A_Z,14.597,26.899,0.0
30,8i2e-model-30_A_Z,7.477,25.516,0.0875
31,8i2e-model-31_A_Z,9.241,16.853,0.0
32,8i2e-model-32_A_Z,16.184,32.008,0.0
33,8i2e-model-33_A_Z,12.61,24.803,0.0
34,8i2e-model-34_A_Z,14.288,26.192,0.0
35,8i2e-model-35_A_Z,14.764,28.203,0.0
36,8i2e-model-36_A_Z,9.518,27.347,0.0375
37,8i2e-model-37_A_Z,13.064,26.472,0.0
38,8i2e-model-38_A_Z,9.887,36.045,0.0125
39,8i2e-model-39_A_Z,13.506,23.475,0.0125
40,8i2e-model-40_A_Z,11.144,20.732,0.0625
41,8i2e-model-41_A_Z,15.742,31.567,0.0
42,8i2e-model-42_A_Z,11.394,27.605,0.0
43,8i2e-model-43_A_Z,10.376,39.012,0.0
44,8i2e-model-44_A_Z,14.899,28.165,0.0125
45,8i2e-model-45_A_Z,15.427,28.277,0.0
46,8i2e-model-46_A_Z,13.683,21.706,0.0
47,8i2e-model-47_A_Z,14.498,33.453,0.0
48,8i2e-model-48_A_Z,14.386,24.312,0.0
49,8i2e-model-49_A_Z,17.24,32.934,0.0
50,8i2e-model-50_A_Z,13.1,30.206,0.0125
51,8i2e-model-51_A_Z,14.637,29.651,0.0
52,8i2e-model-52_A_Z,10.541,28.545,0.025
53,8i2e-model-53_A_Z,7.324,17.035,0.15
54,8i2e-model-54_A_Z,12.212,24.571,0.0
55,8i2e-model-55_A_Z,10.08,24.285,0.025
56,8i2e-model-56_A_Z,11.328,24.906,0.025
57,8i2e-model-57_A_Z,13.384,26.369,0.0
58,8i2e-model-58_A_Z,17.139,33.226,0.0
59,8i2e-model-59_A_Z,15.162,29.251,0.0
60,8i2e-model-60_A_Z,15.562,33.564,0.0
61,8i2e-model-61_A_Z,12.852,27.481,0.0
62,8i2e-model-62_A_Z,11.507,23.088,0.0
63,8i2e-model-63_A_Z,12.626,24.323,0.05
64,8i2e-model-64_A_Z,13.237,28.504,0.0
65,8i2e-model-65_A_Z,13.137,29.739,0.0125
66,8i2e-model-66_A_Z,11.855,24.096,0.0
67,8i2e-model-67_A_Z,14.769,52.449,0.0
68,8i2e-model-68_A_Z,10.99,23.167,0.0125
69,8i2e-model-69_A_Z,9.551,29.853,0.075
70,8i2e-model-70_A_Z,15.495,31.976,0.0
71,8i2e-model-71_A_Z,13.547,26.542,0.0
72,8i2e-model-72_A_Z,13.461,22.194,0.0
73,8i2e-model-73_A_Z,14.475,23.232,0.0
74,8i2e-model-74_A_Z,14.863,26.427,0.0
75,8i2e-model-75_A_Z,14.038,23.815,0.05
76,8i2e-model-76_A_Z,13.962,22.373,0.0
77,8i2e-model-77_A_Z,11.404,23.976,0.0
78,8i2e-model-78_A_Z,11.069,24.141,0.0
79,8i2e-model-79_A_Z,11.88,27.54,0.0
80,8i2e-model-80_A_Z,13.293,29.851,0.0
81,8i2e-model-81_A_Z,13.989,23.759,0.0
82,8i2e-model-82_A_Z,15.856,28.069,0.0
83,8i2e-model-83_A_Z,12.201,29.016,0.0
84,8i2e-model-84_A_Z,13.213,27.217,0.0
85,8i2e-model-85_A_Z,7.639,27.229,0.0625
86,8i2e-model-86_A_Z,16.665,44.665,0.0
87,8i2e-model-87_A_Z,14.992,25.296,0.05
88,8i2e-model-88_A_Z,13.594,26.357,0.0
89,8i2e-model-89_A_Z,16.107,29.797,0.0
90,8i2e-model-90_A_Z,10.34,21.054,0.0
91,8i2e-model-91_A_Z,14.373,28.254,0.0
92,8i2e-model-92_A_Z,15.113,24.824,0.0
93,8i2e-model-93_A_Z,12.44,23.65,0.05
94,8i2e-model-94_A_Z,15.349,50.089,0.0
95,8i2e-model-95_A_Z,11.753,29.446,0.0
96,8i2e-model-96_A_Z,17.73,49.099,0.0
97,8i2e-model-97_A_Z,12.28,23.416,0.0
98,8i2e-model-98_A_Z,12.045,25.755,0.0
99,8i2e-model-99_A_Z,15.195,27.202,0.0
100,8i2e-model-100_A_Z,13.561,25.719,0.0
