model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8alk-model-1_A_Z,0.197,0.447,0.944444
2,8alk-model-2_A_Z,1.812,5.066,0.6
3,8alk-model-3_A_Z,1.809,6.358,0.6
4,8alk-model-4_A_Z,25.141,62.894,0.0
5,8alk-model-5_A_Z,19.891,57.896,0.0
6,8alk-model-6_A_Z,22.852,57.664,0.0
7,8alk-model-7_A_Z,2.855,9.461,0.488889
8,8alk-model-8_A_Z,20.648,58.358,0.0
9,8alk-model-9_A_Z,24.159,59.505,0.0
10,8alk-model-10_A_Z,22.914,69.421,0.0
11,8alk-model-11_A_Z,19.969,62.187,0.0
12,8alk-model-12_A_Z,22.191,69.851,0.0
13,8alk-model-13_A_Z,25.207,75.767,0.0
14,8alk-model-14_A_Z,23.459,59.522,0.0
15,8alk-model-15_A_Z,19.631,68.913,0.0
16,8alk-model-16_A_Z,14.232,24.815,0.011111
17,8alk-model-17_A_Z,22.11,66.015,0.0
18,8alk-model-18_A_Z,20.128,59.388,0.0
19,8alk-model-19_A_Z,23.355,60.652,0.0
20,8alk-model-20_A_Z,21.806,65.136,0.0
21,8alk-model-21_A_Z,24.768,73.05,0.0
22,8alk-model-22_A_Z,20.902,61.14,0.0
23,8alk-model-23_A_Z,17.804,36.232,0.0
24,8alk-model-24_A_Z,20.252,56.932,0.0
25,8alk-model-25_A_Z,23.95,74.756,0.0
26,8alk-model-26_A_Z,20.56,61.277,0.0
27,8alk-model-27_A_Z,27.479,78.157,0.0
28,8alk-model-28_A_Z,24.849,70.362,0.0
29,8alk-model-29_A_Z,22.355,68.94,0.0
30,8alk-model-30_A_Z,24.485,60.852,0.0
31,8alk-model-31_A_Z,19.524,67.197,0.0
32,8alk-model-32_A_Z,2.329,8.228,0.511111
33,8alk-model-33_A_Z,15.664,28.151,0.0
34,8alk-model-34_A_Z,21.091,70.167,0.0
35,8alk-model-35_A_Z,19.974,52.722,0.0
36,8alk-model-36_A_Z,13.926,33.417,0.0
37,8alk-model-37_A_Z,15.193,53.021,0.0
38,8alk-model-38_A_Z,18.908,60.202,0.0
39,8alk-model-39_A_Z,27.722,82.991,0.0
40,8alk-model-40_A_Z,21.246,62.275,0.0
41,8alk-model-41_A_Z,23.359,65.718,0.0
42,8alk-model-42_A_Z,23.136,72.977,0.0
43,8alk-model-43_A_Z,26.2,78.424,0.0
44,8alk-model-44_A_Z,19.501,51.876,0.0
45,8alk-model-45_A_Z,27.341,74.025,0.0
46,8alk-model-46_A_Z,24.203,59.975,0.0
47,8alk-model-47_A_Z,25.444,69.253,0.0
48,8alk-model-48_A_Z,22.105,65.047,0.0
49,8alk-model-49_A_Z,26.307,81.14,0.0
50,8alk-model-50_A_Z,18.549,60.201,0.0
51,8alk-model-51_A_Z,21.944,56.685,0.0
52,8alk-model-52_A_Z,27.131,76.039,0.0
53,8alk-model-53_A_Z,25.683,72.303,0.0
54,8alk-model-54_A_Z,12.901,25.055,0.0
55,8alk-model-55_A_Z,24.138,64.205,0.0
56,8alk-model-56_A_Z,10.453,19.568,0.0
57,8alk-model-57_A_Z,24.195,69.007,0.0
58,8alk-model-58_A_Z,29.683,73.205,0.0
59,8alk-model-59_A_Z,16.717,57.543,0.0
60,8alk-model-60_A_Z,25.897,71.438,0.0
61,8alk-model-61_A_Z,19.022,68.601,0.0
62,8alk-model-62_A_Z,23.952,67.17,0.0
63,8alk-model-63_A_Z,22.337,82.662,0.0
64,8alk-model-64_A_Z,23.861,74.691,0.0
65,8alk-model-65_A_Z,22.018,65.564,0.0
66,8alk-model-66_A_Z,25.614,72.563,0.0
67,8alk-model-67_A_Z,24.222,62.128,0.0
68,8alk-model-68_A_Z,9.03,19.534,0.022222
69,8alk-model-69_A_Z,26.67,73.103,0.0
70,8alk-model-70_A_Z,20.128,59.859,0.0
71,8alk-model-71_A_Z,24.449,60.339,0.0
72,8alk-model-72_A_Z,24.496,62.085,0.0
73,8alk-model-73_A_Z,11.483,23.587,0.111111
74,8alk-model-74_A_Z,24.159,66.311,0.0
75,8alk-model-75_A_Z,21.535,50.884,0.0
76,8alk-model-76_A_Z,20.375,59.71,0.0
77,8alk-model-77_A_Z,13.763,25.794,0.0
78,8alk-model-78_A_Z,23.768,60.794,0.0
79,8alk-model-79_A_Z,23.406,65.315,0.0
80,8alk-model-80_A_Z,17.625,50.365,0.0
81,8alk-model-81_A_Z,24.177,70.723,0.0
82,8alk-model-82_A_Z,8.085,21.272,0.0
83,8alk-model-83_A_Z,25.603,60.447,0.0
84,8alk-model-84_A_Z,25.117,66.303,0.0
85,8alk-model-85_A_Z,25.05,64.126,0.0
86,8alk-model-86_A_Z,22.427,53.826,0.0
87,8alk-model-87_A_Z,19.448,62.919,0.0
88,8alk-model-88_A_Z,25.946,70.942,0.0
89,8alk-model-89_A_Z,28.044,83.447,0.0
90,8alk-model-90_A_Z,14.447,30.289,0.011111
91,8alk-model-91_A_Z,13.779,25.992,0.0
92,8alk-model-92_A_Z,21.742,61.071,0.0
93,8alk-model-93_A_Z,18.962,58.759,0.0
94,8alk-model-94_A_Z,24.917,66.898,0.0
95,8alk-model-95_A_Z,22.294,63.361,0.0
96,8alk-model-96_A_Z,26.727,65.18,0.0
97,8alk-model-97_A_Z,21.637,64.537,0.0
98,8alk-model-98_A_Z,18.162,54.105,0.0
99,8alk-model-99_A_Z,24.726,66.419,0.0
100,8alk-model-100_A_Z,19.959,52.107,0.0
