model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8b54-model-1_A_Z,0.187,0.57,0.913978
2,8b54-model-2_A_Z,19.879,47.63,0.0
3,8b54-model-3_A_Z,20.343,75.056,0.0
4,8b54-model-4_A_Z,22.627,77.476,0.0
5,8b54-model-5_A_Z,1.837,5.705,0.365591
6,8b54-model-6_A_Z,16.304,54.997,0.032258
7,8b54-model-7_A_Z,22.216,52.15,0.021505
8,8b54-model-8_A_Z,19.619,35.568,0.0
9,8b54-model-9_A_Z,16.407,71.919,0.0
10,8b54-model-10_A_Z,11.14,44.82,0.0
11,8b54-model-11_A_Z,13.782,29.793,0.053763
12,8b54-model-12_A_Z,11.135,33.677,0.0
13,8b54-model-13_A_Z,22.132,57.349,0.0
14,8b54-model-14_A_Z,21.098,72.647,0.0
15,8b54-model-15_A_Z,19.197,40.23,0.0
16,8b54-model-16_A_Z,19.832,59.529,0.0
17,8b54-model-17_A_Z,17.843,32.569,0.0
18,8b54-model-18_A_Z,20.478,49.851,0.0
19,8b54-model-19_A_Z,22.369,78.118,0.0
20,8b54-model-20_A_Z,18.964,55.994,0.0
21,8b54-model-21_A_Z,19.629,74.607,0.0
22,8b54-model-22_A_Z,24.882,61.009,0.0
23,8b54-model-23_A_Z,21.139,53.542,0.0
24,8b54-model-24_A_Z,26.262,72.294,0.0
25,8b54-model-25_A_Z,27.623,75.53,0.0
26,8b54-model-26_A_Z,21.377,50.426,0.021505
27,8b54-model-27_A_Z,20.055,47.583,0.0
28,8b54-model-28_A_Z,16.491,57.372,0.0
29,8b54-model-29_A_Z,20.648,55.265,0.0
30,8b54-model-30_A_Z,18.17,57.458,0.0
31,8b54-model-31_A_Z,9.524,26.027,0.0
32,8b54-model-32_A_Z,8.362,21.953,0.043011
33,8b54-model-33_A_Z,17.768,68.317,0.0
34,8b54-model-34_A_Z,20.239,54.28,0.0
35,8b54-model-35_A_Z,16.917,37.863,0.0
36,8b54-model-36_A_Z,15.661,33.388,0.043011
37,8b54-model-37_A_Z,21.14,78.523,0.0
38,8b54-model-38_A_Z,22.496,67.543,0.0
39,8b54-model-39_A_Z,20.908,50.389,0.010753
40,8b54-model-40_A_Z,16.209,31.015,0.0
41,8b54-model-41_A_Z,19.739,42.798,0.0
42,8b54-model-42_A_Z,21.935,59.762,0.0
43,8b54-model-43_A_Z,20.056,62.219,0.0
44,8b54-model-44_A_Z,20.715,55.262,0.0
45,8b54-model-45_A_Z,11.418,37.201,0.0
46,8b54-model-46_A_Z,20.083,73.546,0.0
47,8b54-model-47_A_Z,5.59,14.073,0.236559
48,8b54-model-48_A_Z,21.544,54.152,0.0
49,8b54-model-49_A_Z,29.232,73.592,0.0
50,8b54-model-50_A_Z,18.902,48.442,0.0
51,8b54-model-51_A_Z,27.546,75.373,0.0
52,8b54-model-52_A_Z,12.103,40.732,0.0
53,8b54-model-53_A_Z,21.123,61.924,0.0
54,8b54-model-54_A_Z,19.851,46.378,0.0
55,8b54-model-55_A_Z,21.694,68.862,0.0
56,8b54-model-56_A_Z,14.04,30.781,0.096774
57,8b54-model-57_A_Z,13.881,36.154,0.010753
58,8b54-model-58_A_Z,21.403,63.625,0.0
59,8b54-model-59_A_Z,20.934,57.451,0.010753
60,8b54-model-60_A_Z,21.279,58.435,0.0
61,8b54-model-61_A_Z,16.853,65.683,0.0
62,8b54-model-62_A_Z,24.182,57.862,0.0
63,8b54-model-63_A_Z,17.948,53.58,0.0
64,8b54-model-64_A_Z,17.489,54.631,0.0
65,8b54-model-65_A_Z,24.414,73.534,0.0
66,8b54-model-66_A_Z,21.523,68.655,0.0
67,8b54-model-67_A_Z,21.998,55.183,0.0
68,8b54-model-68_A_Z,17.852,30.614,0.0
69,8b54-model-69_A_Z,22.113,68.657,0.0
70,8b54-model-70_A_Z,21.056,75.338,0.0
71,8b54-model-71_A_Z,18.255,34.084,0.0
72,8b54-model-72_A_Z,20.022,75.156,0.0
73,8b54-model-73_A_Z,17.915,57.642,0.0
74,8b54-model-74_A_Z,15.596,69.434,0.0
75,8b54-model-75_A_Z,18.967,43.211,0.0
76,8b54-model-76_A_Z,19.165,46.067,0.0
77,8b54-model-77_A_Z,19.975,52.707,0.0
78,8b54-model-78_A_Z,21.546,55.016,0.0
79,8b54-model-79_A_Z,16.455,71.106,0.0
80,8b54-model-80_A_Z,19.112,51.639,0.032258
81,8b54-model-81_A_Z,16.923,64.689,0.0
82,8b54-model-82_A_Z,20.624,32.552,0.0
83,8b54-model-83_A_Z,25.856,68.289,0.0
84,8b54-model-84_A_Z,27.494,69.438,0.0
85,8b54-model-85_A_Z,18.717,61.101,0.0
86,8b54-model-86_A_Z,22.635,41.77,0.0
87,8b54-model-87_A_Z,20.375,41.432,0.043011
88,8b54-model-88_A_Z,18.051,51.195,0.0
89,8b54-model-89_A_Z,20.108,50.037,0.0
90,8b54-model-90_A_Z,17.246,29.157,0.0
91,8b54-model-91_A_Z,19.639,32.256,0.0
92,8b54-model-92_A_Z,22.681,60.814,0.0
93,8b54-model-93_A_Z,21.033,68.125,0.0
94,8b54-model-94_A_Z,18.911,36.495,0.032258
95,8b54-model-95_A_Z,20.917,57.818,0.0
96,8b54-model-96_A_Z,19.091,44.843,0.0
97,8b54-model-97_A_Z,19.342,55.139,0.0
98,8b54-model-98_A_Z,21.323,60.205,0.0
99,8b54-model-99_A_Z,10.419,19.863,0.032258
100,8b54-model-100_A_Z,22.279,61.312,0.0
