model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8bc8-model-1_A_Z,0.143,0.42,0.927928
2,8bc8-model-2_A_Z,29.012,82.802,0.0
3,8bc8-model-3_A_Z,28.517,84.453,0.0
4,8bc8-model-4_A_Z,31.072,76.183,0.0
5,8bc8-model-5_A_Z,41.341,93.85,0.0
6,8bc8-model-6_A_Z,22.556,62.18,0.0
7,8bc8-model-7_A_Z,35.625,92.538,0.0
8,8bc8-model-8_A_Z,36.192,103.864,0.0
9,8bc8-model-9_A_Z,21.683,47.628,0.0
10,8bc8-model-10_A_Z,28.622,79.918,0.0
11,8bc8-model-11_A_Z,28.285,68.889,0.0
12,8bc8-model-12_A_Z,25.168,50.955,0.0
13,8bc8-model-13_A_Z,29.766,73.417,0.0
14,8bc8-model-14_A_Z,39.645,94.54,0.0
15,8bc8-model-15_A_Z,38.936,106.001,0.0
16,8bc8-model-16_A_Z,39.321,96.774,0.0
17,8bc8-model-17_A_Z,33.847,71.15,0.0
18,8bc8-model-18_A_Z,30.51,93.098,0.0
19,8bc8-model-19_A_Z,26.899,50.567,0.0
20,8bc8-model-20_A_Z,38.891,99.287,0.0
21,8bc8-model-21_A_Z,24.463,56.121,0.0
22,8bc8-model-22_A_Z,37.936,95.077,0.0
23,8bc8-model-23_A_Z,37.233,103.819,0.0
24,8bc8-model-24_A_Z,34.384,96.795,0.0
25,8bc8-model-25_A_Z,35.207,108.934,0.0
26,8bc8-model-26_A_Z,25.728,46.735,0.0
27,8bc8-model-27_A_Z,17.561,39.557,0.018018
28,8bc8-model-28_A_Z,19.268,43.007,0.0
29,8bc8-model-29_A_Z,28.24,64.813,0.0
30,8bc8-model-30_A_Z,40.772,88.221,0.0
31,8bc8-model-31_A_Z,37.768,97.09,0.0
32,8bc8-model-32_A_Z,40.881,97.687,0.0
33,8bc8-model-33_A_Z,30.437,72.513,0.0
34,8bc8-model-34_A_Z,40.25,106.136,0.0
35,8bc8-model-35_A_Z,17.344,45.58,0.0
36,8bc8-model-36_A_Z,43.047,105.404,0.0
37,8bc8-model-37_A_Z,30.679,69.527,0.0
38,8bc8-model-38_A_Z,25.515,64.154,0.0
39,8bc8-model-39_A_Z,42.471,103.855,0.0
40,8bc8-model-40_A_Z,29.017,66.992,0.0
41,8bc8-model-41_A_Z,36.839,109.643,0.0
42,8bc8-model-42_A_Z,37.195,95.046,0.0
43,8bc8-model-43_A_Z,33.461,101.163,0.0
44,8bc8-model-44_A_Z,29.919,91.737,0.0
45,8bc8-model-45_A_Z,18.514,47.841,0.0
46,8bc8-model-46_A_Z,30.334,87.036,0.0
47,8bc8-model-47_A_Z,39.78,104.355,0.0
48,8bc8-model-48_A_Z,27.271,66.88,0.0
49,8bc8-model-49_A_Z,25.794,70.09,0.0
50,8bc8-model-50_A_Z,27.151,71.059,0.0
51,8bc8-model-51_A_Z,29.211,60.657,0.0
52,8bc8-model-52_A_Z,30.573,55.157,0.0
53,8bc8-model-53_A_Z,21.58,56.293,0.0
54,8bc8-model-54_A_Z,26.005,57.063,0.0
55,8bc8-model-55_A_Z,37.758,92.106,0.0
56,8bc8-model-56_A_Z,39.513,100.035,0.0
57,8bc8-model-57_A_Z,41.504,114.413,0.0
58,8bc8-model-58_A_Z,32.997,95.013,0.0
59,8bc8-model-59_A_Z,41.014,93.957,0.0
60,8bc8-model-60_A_Z,20.794,46.479,0.0
61,8bc8-model-61_A_Z,26.926,56.467,0.0
62,8bc8-model-62_A_Z,48.562,110.123,0.0
63,8bc8-model-63_A_Z,18.301,48.02,0.009009
64,8bc8-model-64_A_Z,26.638,49.533,0.0
65,8bc8-model-65_A_Z,34.388,106.812,0.0
66,8bc8-model-66_A_Z,27.244,65.159,0.0
67,8bc8-model-67_A_Z,15.669,42.066,0.0
68,8bc8-model-68_A_Z,24.49,53.635,0.0
69,8bc8-model-69_A_Z,31.513,98.578,0.0
70,8bc8-model-70_A_Z,31.964,73.099,0.0
71,8bc8-model-71_A_Z,44.291,112.87,0.0
72,8bc8-model-72_A_Z,39.265,108.046,0.0
73,8bc8-model-73_A_Z,35.982,103.14,0.0
74,8bc8-model-74_A_Z,28.413,81.288,0.0
75,8bc8-model-75_A_Z,25.399,41.201,0.0
76,8bc8-model-76_A_Z,35.304,102.292,0.0
77,8bc8-model-77_A_Z,37.987,90.155,0.0
78,8bc8-model-78_A_Z,19.544,50.421,0.0
79,8bc8-model-79_A_Z,31.391,58.715,0.0
80,8bc8-model-80_A_Z,39.245,104.031,0.0
81,8bc8-model-81_A_Z,38.236,98.452,0.0
82,8bc8-model-82_A_Z,18.263,30.97,0.0
83,8bc8-model-83_A_Z,30.546,57.335,0.0
84,8bc8-model-84_A_Z,25.028,53.959,0.0
85,8bc8-model-85_A_Z,28.145,76.226,0.0
86,8bc8-model-86_A_Z,37.07,98.648,0.0
87,8bc8-model-87_A_Z,34.611,82.935,0.0
88,8bc8-model-88_A_Z,36.251,87.84,0.0
89,8bc8-model-89_A_Z,29.25,77.63,0.0
90,8bc8-model-90_A_Z,32.273,88.779,0.0
91,8bc8-model-91_A_Z,22.976,52.366,0.0
92,8bc8-model-92_A_Z,21.593,48.845,0.0
93,8bc8-model-93_A_Z,39.728,105.406,0.0
94,8bc8-model-94_A_Z,30.741,97.616,0.0
95,8bc8-model-95_A_Z,27.375,70.444,0.0
96,8bc8-model-96_A_Z,33.151,100.511,0.0
97,8bc8-model-97_A_Z,28.887,66.443,0.0
98,8bc8-model-98_A_Z,45.46,100.363,0.0
99,8bc8-model-99_A_Z,39.79,95.322,0.0
100,8bc8-model-100_A_Z,24.472,62.239,0.0
