model_i,model_PPI,iRMSD,lRMSD,FNAT
1,7wqv-model-1_A_Z,0.158,0.335,0.931818
2,7wqv-model-2_A_Z,1.503,4.583,0.522727
3,7wqv-model-3_A_Z,21.77,51.953,0.0
4,7wqv-model-4_A_Z,10.071,36.725,0.022727
5,7wqv-model-5_A_Z,16.403,60.241,0.0
6,7wqv-model-6_A_Z,16.296,54.728,0.0
7,7wqv-model-7_A_Z,19.774,35.71,0.045455
8,7wqv-model-8_A_Z,25.408,56.096,0.0
9,7wqv-model-9_A_Z,7.59,30.395,0.056818
10,7wqv-model-10_A_Z,13.865,49.563,0.0
11,7wqv-model-11_A_Z,11.419,37.099,0.0
12,7wqv-model-12_A_Z,11.861,33.999,0.0
13,7wqv-model-13_A_Z,12.843,43.854,0.0
14,7wqv-model-14_A_Z,18.046,60.074,0.0
15,7wqv-model-15_A_Z,17.612,59.238,0.0
16,7wqv-model-16_A_Z,19.149,55.004,0.0
17,7wqv-model-17_A_Z,18.739,56.051,0.0
18,7wqv-model-18_A_Z,15.21,45.303,0.0
19,7wqv-model-19_A_Z,12.724,38.945,0.011364
20,7wqv-model-20_A_Z,21.793,51.046,0.0
21,7wqv-model-21_A_Z,15.886,50.895,0.0
22,7wqv-model-22_A_Z,15.497,33.999,0.0
23,7wqv-model-23_A_Z,23.398,55.913,0.0
24,7wqv-model-24_A_Z,15.343,50.526,0.0
25,7wqv-model-25_A_Z,15.824,61.409,0.0
26,7wqv-model-26_A_Z,16.242,40.171,0.0
27,7wqv-model-27_A_Z,20.499,48.039,0.0
28,7wqv-model-28_A_Z,21.707,49.256,0.0
29,7wqv-model-29_A_Z,17.354,53.848,0.0
30,7wqv-model-30_A_Z,20.455,49.623,0.0
31,7wqv-model-31_A_Z,12.941,41.678,0.0
32,7wqv-model-32_A_Z,13.553,34.031,0.034091
33,7wqv-model-33_A_Z,11.517,33.035,0.0
34,7wqv-model-34_A_Z,18.96,42.914,0.0
35,7wqv-model-35_A_Z,19.955,59.172,0.0
36,7wqv-model-36_A_Z,16.277,49.846,0.0
37,7wqv-model-37_A_Z,19.051,63.396,0.0
38,7wqv-model-38_A_Z,15.06,57.278,0.0
39,7wqv-model-39_A_Z,14.093,28.585,0.0
40,7wqv-model-40_A_Z,18.514,41.193,0.011364
41,7wqv-model-41_A_Z,12.909,30.275,0.0
42,7wqv-model-42_A_Z,21.683,63.191,0.0
43,7wqv-model-43_A_Z,13.856,29.539,0.022727
44,7wqv-model-44_A_Z,21.437,37.76,0.0
45,7wqv-model-45_A_Z,2.726,7.681,0.363636
46,7wqv-model-46_A_Z,15.984,56.274,0.0
47,7wqv-model-47_A_Z,18.024,59.324,0.0
48,7wqv-model-48_A_Z,15.913,46.254,0.0
49,7wqv-model-49_A_Z,18.078,39.672,0.0
50,7wqv-model-50_A_Z,22.793,52.845,0.0
51,7wqv-model-51_A_Z,14.124,51.817,0.0
52,7wqv-model-52_A_Z,14.642,31.811,0.022727
53,7wqv-model-53_A_Z,14.188,29.728,0.011364
54,7wqv-model-54_A_Z,15.503,42.622,0.022727
55,7wqv-model-55_A_Z,18.088,41.329,0.0
56,7wqv-model-56_A_Z,15.914,45.062,0.0
57,7wqv-model-57_A_Z,19.892,50.486,0.045455
58,7wqv-model-58_A_Z,12.58,43.691,0.0
59,7wqv-model-59_A_Z,17.989,54.614,0.0
60,7wqv-model-60_A_Z,24.261,58.718,0.0
61,7wqv-model-61_A_Z,5.788,14.414,0.056818
62,7wqv-model-62_A_Z,21.583,50.665,0.0
63,7wqv-model-63_A_Z,13.986,33.751,0.0
64,7wqv-model-64_A_Z,18.565,56.133,0.0
65,7wqv-model-65_A_Z,16.163,57.228,0.0
66,7wqv-model-66_A_Z,17.927,30.669,0.0
67,7wqv-model-67_A_Z,14.892,48.878,0.0
68,7wqv-model-68_A_Z,15.579,49.345,0.0
69,7wqv-model-69_A_Z,11.93,27.825,0.0
70,7wqv-model-70_A_Z,13.747,32.285,0.011364
71,7wqv-model-71_A_Z,23.263,63.207,0.0
72,7wqv-model-72_A_Z,20.934,57.807,0.0
73,7wqv-model-73_A_Z,16.389,51.858,0.0
74,7wqv-model-74_A_Z,8.609,22.115,0.011364
75,7wqv-model-75_A_Z,12.502,40.657,0.0
76,7wqv-model-76_A_Z,16.405,57.037,0.0
77,7wqv-model-77_A_Z,21.456,52.164,0.0
78,7wqv-model-78_A_Z,20.476,40.001,0.0
79,7wqv-model-79_A_Z,21.141,49.517,0.0
80,7wqv-model-80_A_Z,14.319,46.92,0.0
81,7wqv-model-81_A_Z,11.543,30.364,0.079545
82,7wqv-model-82_A_Z,20.212,51.453,0.0
83,7wqv-model-83_A_Z,17.561,42.37,0.034091
84,7wqv-model-84_A_Z,20.101,39.341,0.0
85,7wqv-model-85_A_Z,21.053,46.983,0.0
86,7wqv-model-86_A_Z,24.554,54.48,0.0
87,7wqv-model-87_A_Z,20.34,44.032,0.0
88,7wqv-model-88_A_Z,16.74,42.894,0.011364
89,7wqv-model-89_A_Z,17.075,39.634,0.0
90,7wqv-model-90_A_Z,7.021,14.057,0.034091
91,7wqv-model-91_A_Z,13.144,41.751,0.0
92,7wqv-model-92_A_Z,15.611,59.623,0.0
93,7wqv-model-93_A_Z,7.511,18.439,0.102273
94,7wqv-model-94_A_Z,21.417,47.952,0.0
95,7wqv-model-95_A_Z,15.058,26.624,0.0
96,7wqv-model-96_A_Z,20.665,48.292,0.0
97,7wqv-model-97_A_Z,18.546,58.096,0.0
98,7wqv-model-98_A_Z,22.561,54.375,0.0
99,7wqv-model-99_A_Z,16.348,32.921,0.022727
100,7wqv-model-100_A_Z,18.76,44.2,0.0
