model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8exe-model-1_A_Z,0.193,0.519,0.977011
2,8exe-model-2_A_Z,22.051,47.842,0.0
3,8exe-model-3_A_Z,20.276,57.915,0.0
4,8exe-model-4_A_Z,27.328,63.735,0.0
5,8exe-model-5_A_Z,15.373,23.773,0.022989
6,8exe-model-6_A_Z,14.128,22.44,0.0
7,8exe-model-7_A_Z,15.588,24.312,0.0
8,8exe-model-8_A_Z,15.064,25.351,0.0
9,8exe-model-9_A_Z,24.538,58.899,0.0
10,8exe-model-10_A_Z,2.835,7.46,0.425287
11,8exe-model-11_A_Z,19.79,60.606,0.0
12,8exe-model-12_A_Z,20.333,58.169,0.0
13,8exe-model-13_A_Z,14.467,24.361,0.0
14,8exe-model-14_A_Z,14.573,24.195,0.0
15,8exe-model-15_A_Z,23.098,59.715,0.0
16,8exe-model-16_A_Z,12.564,21.678,0.011494
17,8exe-model-17_A_Z,16.063,25.668,0.0
18,8exe-model-18_A_Z,22.819,58.092,0.0
19,8exe-model-19_A_Z,22.731,51.81,0.0
20,8exe-model-20_A_Z,14.348,24.426,0.011494
21,8exe-model-21_A_Z,28.037,62.671,0.0
22,8exe-model-22_A_Z,12.543,22.488,0.0
23,8exe-model-23_A_Z,13.202,22.331,0.0
24,8exe-model-24_A_Z,27.543,61.926,0.0
25,8exe-model-25_A_Z,25.339,59.679,0.0
26,8exe-model-26_A_Z,15.413,23.099,0.0
27,8exe-model-27_A_Z,23.187,56.214,0.0
28,8exe-model-28_A_Z,23.744,58.391,0.0
29,8exe-model-29_A_Z,23.47,57.563,0.0
30,8exe-model-30_A_Z,22.77,52.024,0.0
31,8exe-model-31_A_Z,27.14,64.683,0.0
32,8exe-model-32_A_Z,16.454,24.31,0.034483
33,8exe-model-33_A_Z,23.941,69.581,0.0
34,8exe-model-34_A_Z,22.032,49.393,0.0
35,8exe-model-35_A_Z,22.567,56.258,0.0
36,8exe-model-36_A_Z,27.414,61.927,0.0
37,8exe-model-37_A_Z,15.534,25.644,0.0
38,8exe-model-38_A_Z,15.512,24.545,0.0
39,8exe-model-39_A_Z,25.115,56.699,0.0
40,8exe-model-40_A_Z,14.97,23.316,0.08046
41,8exe-model-41_A_Z,18.005,34.087,0.0
42,8exe-model-42_A_Z,22.761,58.367,0.0
43,8exe-model-43_A_Z,17.922,53.765,0.0
44,8exe-model-44_A_Z,24.138,59.048,0.0
45,8exe-model-45_A_Z,21.574,49.298,0.0
46,8exe-model-46_A_Z,23.024,51.414,0.0
47,8exe-model-47_A_Z,18.14,50.655,0.0
48,8exe-model-48_A_Z,20.495,57.162,0.0
49,8exe-model-49_A_Z,15.389,24.909,0.0
50,8exe-model-50_A_Z,28.013,62.833,0.0
51,8exe-model-51_A_Z,13.974,24.841,0.0
52,8exe-model-52_A_Z,25.003,60.543,0.0
53,8exe-model-53_A_Z,16.6,25.907,0.0
54,8exe-model-54_A_Z,13.81,22.405,0.022989
55,8exe-model-55_A_Z,15.121,22.7,0.0
56,8exe-model-56_A_Z,23.197,52.688,0.0
57,8exe-model-57_A_Z,27.315,61.755,0.0
58,8exe-model-58_A_Z,21.938,50.39,0.0
59,8exe-model-59_A_Z,24.0,53.343,0.0
60,8exe-model-60_A_Z,23.09,56.211,0.0
61,8exe-model-61_A_Z,21.643,48.468,0.0
62,8exe-model-62_A_Z,20.123,56.364,0.0
63,8exe-model-63_A_Z,27.457,62.741,0.0
64,8exe-model-64_A_Z,3.047,8.356,0.45977
65,8exe-model-65_A_Z,11.898,21.066,0.0
66,8exe-model-66_A_Z,27.908,64.5,0.0
67,8exe-model-67_A_Z,26.044,57.98,0.0
68,8exe-model-68_A_Z,22.19,48.698,0.0
69,8exe-model-69_A_Z,22.322,63.757,0.0
70,8exe-model-70_A_Z,19.566,53.413,0.0
71,8exe-model-71_A_Z,23.402,59.061,0.0
72,8exe-model-72_A_Z,4.335,10.05,0.057471
73,8exe-model-73_A_Z,11.974,21.729,0.0
74,8exe-model-74_A_Z,23.152,58.167,0.0
75,8exe-model-75_A_Z,25.009,57.622,0.0
76,8exe-model-76_A_Z,20.987,54.432,0.0
77,8exe-model-77_A_Z,28.388,65.138,0.0
78,8exe-model-78_A_Z,13.735,20.768,0.0
79,8exe-model-79_A_Z,15.517,23.418,0.0
80,8exe-model-80_A_Z,24.953,55.713,0.0
81,8exe-model-81_A_Z,16.175,25.441,0.0
82,8exe-model-82_A_Z,23.392,55.823,0.0
83,8exe-model-83_A_Z,26.177,57.955,0.0
84,8exe-model-84_A_Z,10.228,15.994,0.0
85,8exe-model-85_A_Z,13.025,22.658,0.0
86,8exe-model-86_A_Z,22.599,55.464,0.0
87,8exe-model-87_A_Z,21.117,52.644,0.0
88,8exe-model-88_A_Z,25.316,63.999,0.0
89,8exe-model-89_A_Z,27.119,62.402,0.0
90,8exe-model-90_A_Z,25.574,62.934,0.0
91,8exe-model-91_A_Z,15.803,25.257,0.0
92,8exe-model-92_A_Z,22.181,50.044,0.0
93,8exe-model-93_A_Z,15.223,23.035,0.0
94,8exe-model-94_A_Z,23.566,54.843,0.0
95,8exe-model-95_A_Z,14.777,23.685,0.0
96,8exe-model-96_A_Z,19.55,60.012,0.0
97,8exe-model-97_A_Z,27.401,62.656,0.0
98,8exe-model-98_A_Z,14.258,22.358,0.0
99,8exe-model-99_A_Z,22.957,61.69,0.0
100,8exe-model-100_A_Z,24.99,58.122,0.0
