model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8ot0-model-1_A_Z,0.219,0.495,0.876923
2,8ot0-model-2_A_Z,10.865,29.778,0.0
3,8ot0-model-3_A_Z,22.827,61.389,0.0
4,8ot0-model-4_A_Z,13.316,36.027,0.0
5,8ot0-model-5_A_Z,17.072,42.565,0.0
6,8ot0-model-6_A_Z,10.494,25.234,0.076923
7,8ot0-model-7_A_Z,13.5,31.415,0.0
8,8ot0-model-8_A_Z,16.115,31.513,0.0
9,8ot0-model-9_A_Z,11.728,38.759,0.0
10,8ot0-model-10_A_Z,9.357,28.68,0.030769
11,8ot0-model-11_A_Z,17.74,62.797,0.0
12,8ot0-model-12_A_Z,12.163,39.198,0.0
13,8ot0-model-13_A_Z,11.878,35.036,0.046154
14,8ot0-model-14_A_Z,16.549,51.938,0.0
15,8ot0-model-15_A_Z,17.903,45.79,0.0
16,8ot0-model-16_A_Z,12.081,37.229,0.0
17,8ot0-model-17_A_Z,3.346,7.851,0.338462
18,8ot0-model-18_A_Z,16.961,48.454,0.0
19,8ot0-model-19_A_Z,11.95,24.21,0.015385
20,8ot0-model-20_A_Z,12.765,28.668,0.0
21,8ot0-model-21_A_Z,22.597,68.819,0.0
22,8ot0-model-22_A_Z,12.644,36.654,0.0
23,8ot0-model-23_A_Z,15.511,38.902,0.0
24,8ot0-model-24_A_Z,11.724,23.043,0.0
25,8ot0-model-25_A_Z,7.767,17.529,0.046154
26,8ot0-model-26_A_Z,17.621,52.473,0.0
27,8ot0-model-27_A_Z,10.811,23.314,0.0
28,8ot0-model-28_A_Z,10.972,21.23,0.0
29,8ot0-model-29_A_Z,19.969,49.287,0.0
30,8ot0-model-30_A_Z,13.738,35.261,0.0
31,8ot0-model-31_A_Z,8.348,14.724,0.0
32,8ot0-model-32_A_Z,12.429,47.973,0.0
33,8ot0-model-33_A_Z,20.837,68.311,0.0
34,8ot0-model-34_A_Z,17.468,57.859,0.0
35,8ot0-model-35_A_Z,20.58,55.96,0.0
36,8ot0-model-36_A_Z,17.061,41.597,0.0
37,8ot0-model-37_A_Z,17.904,49.502,0.0
38,8ot0-model-38_A_Z,8.76,34.951,0.015385
39,8ot0-model-39_A_Z,19.365,65.334,0.0
40,8ot0-model-40_A_Z,13.636,27.409,0.0
41,8ot0-model-41_A_Z,17.446,46.053,0.0
42,8ot0-model-42_A_Z,14.331,41.974,0.0
43,8ot0-model-43_A_Z,15.262,33.269,0.0
44,8ot0-model-44_A_Z,5.751,16.136,0.123077
45,8ot0-model-45_A_Z,18.943,56.835,0.0
46,8ot0-model-46_A_Z,17.455,40.089,0.0
47,8ot0-model-47_A_Z,17.035,35.905,0.0
48,8ot0-model-48_A_Z,21.077,67.862,0.0
49,8ot0-model-49_A_Z,20.69,58.389,0.0
50,8ot0-model-50_A_Z,23.584,65.185,0.0
51,8ot0-model-51_A_Z,24.064,67.502,0.0
52,8ot0-model-52_A_Z,16.081,40.663,0.015385
53,8ot0-model-53_A_Z,22.666,60.945,0.0
54,8ot0-model-54_A_Z,17.215,41.261,0.0
55,8ot0-model-55_A_Z,13.778,39.708,0.0
56,8ot0-model-56_A_Z,23.252,64.525,0.0
57,8ot0-model-57_A_Z,19.406,58.344,0.0
58,8ot0-model-58_A_Z,19.682,48.249,0.0
59,8ot0-model-59_A_Z,15.409,36.349,0.0
60,8ot0-model-60_A_Z,24.73,68.727,0.0
61,8ot0-model-61_A_Z,23.872,63.924,0.0
62,8ot0-model-62_A_Z,23.18,63.714,0.0
63,8ot0-model-63_A_Z,15.52,41.842,0.0
64,8ot0-model-64_A_Z,17.462,38.361,0.0
65,8ot0-model-65_A_Z,23.458,63.844,0.0
66,8ot0-model-66_A_Z,16.648,35.397,0.0
67,8ot0-model-67_A_Z,13.368,30.763,0.0
68,8ot0-model-68_A_Z,20.049,53.654,0.0
69,8ot0-model-69_A_Z,11.252,32.302,0.015385
70,8ot0-model-70_A_Z,19.702,49.956,0.0
71,8ot0-model-71_A_Z,19.221,63.362,0.0
72,8ot0-model-72_A_Z,14.714,32.543,0.0
73,8ot0-model-73_A_Z,13.729,33.334,0.0
74,8ot0-model-74_A_Z,20.938,56.506,0.0
75,8ot0-model-75_A_Z,23.057,61.549,0.0
76,8ot0-model-76_A_Z,24.716,68.064,0.0
77,8ot0-model-77_A_Z,16.3,45.11,0.0
78,8ot0-model-78_A_Z,14.931,41.216,0.0
79,8ot0-model-79_A_Z,23.299,62.688,0.0
80,8ot0-model-80_A_Z,16.841,36.001,0.0
81,8ot0-model-81_A_Z,22.684,70.322,0.0
82,8ot0-model-82_A_Z,18.697,43.326,0.0
83,8ot0-model-83_A_Z,15.25,39.447,0.0
84,8ot0-model-84_A_Z,21.197,49.073,0.0
85,8ot0-model-85_A_Z,24.669,69.125,0.0
86,8ot0-model-86_A_Z,18.991,49.731,0.0
87,8ot0-model-87_A_Z,16.114,35.976,0.0
88,8ot0-model-88_A_Z,18.009,51.627,0.0
89,8ot0-model-89_A_Z,22.16,62.277,0.0
90,8ot0-model-90_A_Z,16.513,49.323,0.0
91,8ot0-model-91_A_Z,10.72,34.107,0.0
92,8ot0-model-92_A_Z,10.768,20.802,0.0
93,8ot0-model-93_A_Z,17.332,41.485,0.0
94,8ot0-model-94_A_Z,15.111,36.404,0.0
95,8ot0-model-95_A_Z,13.83,46.569,0.0
96,8ot0-model-96_A_Z,11.622,36.314,0.0
97,8ot0-model-97_A_Z,23.902,65.263,0.0
98,8ot0-model-98_A_Z,22.926,62.887,0.0
