model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8boz-model-1_A_Z,0.184,0.62,0.984496
2,8boz-model-2_A_Z,24.563,68.443,0.0
3,8boz-model-3_A_Z,2.608,7.485,0.271318
4,8boz-model-4_A_Z,17.013,33.336,0.0
5,8boz-model-5_A_Z,29.262,71.57,0.0
6,8boz-model-6_A_Z,20.001,46.238,0.0
7,8boz-model-7_A_Z,29.562,68.74,0.0
8,8boz-model-8_A_Z,26.646,67.991,0.0
9,8boz-model-9_A_Z,29.344,73.119,0.0
10,8boz-model-10_A_Z,16.598,31.468,0.0
11,8boz-model-11_A_Z,29.969,68.469,0.0
12,8boz-model-12_A_Z,22.46,55.063,0.0
13,8boz-model-13_A_Z,26.857,75.194,0.0
14,8boz-model-14_A_Z,31.334,75.284,0.0
15,8boz-model-15_A_Z,25.279,55.679,0.0
16,8boz-model-16_A_Z,26.666,67.529,0.0
17,8boz-model-17_A_Z,16.771,30.792,0.007752
18,8boz-model-18_A_Z,19.89,54.555,0.0
19,8boz-model-19_A_Z,28.65,80.888,0.0
20,8boz-model-20_A_Z,20.236,45.818,0.0
21,8boz-model-21_A_Z,23.424,65.894,0.0
22,8boz-model-22_A_Z,33.4,83.913,0.0
23,8boz-model-23_A_Z,23.815,55.631,0.0
24,8boz-model-24_A_Z,22.315,54.615,0.0
25,8boz-model-25_A_Z,21.171,46.392,0.0
26,8boz-model-26_A_Z,22.897,66.491,0.0
27,8boz-model-27_A_Z,29.904,76.858,0.0
28,8boz-model-28_A_Z,27.856,73.261,0.0
29,8boz-model-29_A_Z,29.912,69.193,0.0
30,8boz-model-30_A_Z,3.093,8.772,0.193798
31,8boz-model-31_A_Z,27.835,60.816,0.0
32,8boz-model-32_A_Z,28.332,77.799,0.0
33,8boz-model-33_A_Z,29.874,71.332,0.0
34,8boz-model-34_A_Z,26.92,71.222,0.0
35,8boz-model-35_A_Z,33.842,84.696,0.0
36,8boz-model-36_A_Z,29.612,67.139,0.0
37,8boz-model-37_A_Z,28.141,68.824,0.0
38,8boz-model-38_A_Z,24.325,66.548,0.0
39,8boz-model-39_A_Z,21.662,50.716,0.0
40,8boz-model-40_A_Z,28.511,63.643,0.0
41,8boz-model-41_A_Z,10.528,19.936,0.0
42,8boz-model-42_A_Z,17.839,35.519,0.0
43,8boz-model-43_A_Z,22.188,41.653,0.0
44,8boz-model-44_A_Z,26.065,66.872,0.0
45,8boz-model-45_A_Z,23.208,74.426,0.0
46,8boz-model-46_A_Z,20.077,57.574,0.0
47,8boz-model-47_A_Z,24.305,65.003,0.0
48,8boz-model-48_A_Z,23.789,76.419,0.0
49,8boz-model-49_A_Z,24.862,51.413,0.0
50,8boz-model-50_A_Z,23.687,75.404,0.0
51,8boz-model-51_A_Z,22.965,73.378,0.0
52,8boz-model-52_A_Z,25.926,75.045,0.0
53,8boz-model-53_A_Z,23.146,60.519,0.0
54,8boz-model-54_A_Z,11.83,37.428,0.0
55,8boz-model-55_A_Z,29.051,72.434,0.0
56,8boz-model-56_A_Z,28.482,61.492,0.0
57,8boz-model-57_A_Z,27.441,73.09,0.0
58,8boz-model-58_A_Z,28.617,76.096,0.0
59,8boz-model-59_A_Z,23.289,63.97,0.0
60,8boz-model-60_A_Z,25.778,56.682,0.0
61,8boz-model-61_A_Z,29.944,67.638,0.0
62,8boz-model-62_A_Z,28.703,65.989,0.0
63,8boz-model-63_A_Z,31.132,70.98,0.0
64,8boz-model-64_A_Z,29.744,69.685,0.0
65,8boz-model-65_A_Z,20.67,43.535,0.0
66,8boz-model-66_A_Z,28.922,66.431,0.0
67,8boz-model-67_A_Z,28.627,62.92,0.0
68,8boz-model-68_A_Z,27.756,76.589,0.0
69,8boz-model-69_A_Z,28.895,72.565,0.0
70,8boz-model-70_A_Z,19.42,45.969,0.0
71,8boz-model-71_A_Z,24.267,64.876,0.0
72,8boz-model-72_A_Z,19.328,36.636,0.007752
73,8boz-model-73_A_Z,27.356,67.759,0.0
74,8boz-model-74_A_Z,27.819,73.024,0.0
75,8boz-model-75_A_Z,19.395,41.341,0.0
76,8boz-model-76_A_Z,29.728,72.702,0.0
77,8boz-model-77_A_Z,20.532,40.283,0.0
78,8boz-model-78_A_Z,20.306,51.497,0.0
79,8boz-model-79_A_Z,32.002,77.007,0.0
80,8boz-model-80_A_Z,28.88,72.903,0.0
81,8boz-model-81_A_Z,32.275,76.575,0.0
82,8boz-model-82_A_Z,26.954,62.111,0.0
83,8boz-model-83_A_Z,25.878,68.589,0.0
84,8boz-model-84_A_Z,30.98,71.534,0.0
85,8boz-model-85_A_Z,22.961,62.692,0.0
86,8boz-model-86_A_Z,22.0,73.33,0.0
87,8boz-model-87_A_Z,29.88,76.149,0.0
88,8boz-model-88_A_Z,18.475,36.917,0.023256
89,8boz-model-89_A_Z,22.463,65.178,0.0
90,8boz-model-90_A_Z,29.927,65.349,0.0
91,8boz-model-91_A_Z,15.079,37.049,0.007752
92,8boz-model-92_A_Z,16.081,34.84,0.007752
93,8boz-model-93_A_Z,23.896,57.653,0.0
94,8boz-model-94_A_Z,22.508,70.389,0.0
95,8boz-model-95_A_Z,9.03,23.853,0.062016
96,8boz-model-96_A_Z,26.626,76.139,0.0
97,8boz-model-97_A_Z,24.722,71.848,0.0
98,8boz-model-98_A_Z,24.396,54.747,0.0
99,8boz-model-99_A_Z,24.848,73.597,0.0
100,8boz-model-100_A_Z,29.654,71.025,0.0
