model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8skk-model-1_A_Z,0.224,0.693,0.966667
2,8skk-model-2_A_Z,1.525,6.056,0.583333
3,8skk-model-3_A_Z,11.432,18.995,0.1
4,8skk-model-4_A_Z,16.196,41.393,0.0
5,8skk-model-5_A_Z,13.783,34.268,0.0
6,8skk-model-6_A_Z,15.278,38.989,0.0
7,8skk-model-7_A_Z,16.376,39.664,0.0
8,8skk-model-8_A_Z,13.492,36.546,0.0
9,8skk-model-9_A_Z,14.168,36.782,0.0
10,8skk-model-10_A_Z,16.128,37.469,0.0
11,8skk-model-11_A_Z,11.642,20.792,0.0
12,8skk-model-12_A_Z,14.27,33.608,0.0
13,8skk-model-13_A_Z,13.831,38.842,0.0
14,8skk-model-14_A_Z,11.544,23.778,0.0
15,8skk-model-15_A_Z,13.29,38.172,0.0
16,8skk-model-16_A_Z,19.465,49.321,0.0
17,8skk-model-17_A_Z,16.456,37.542,0.0
18,8skk-model-18_A_Z,14.296,38.542,0.016667
19,8skk-model-19_A_Z,12.823,32.805,0.0
20,8skk-model-20_A_Z,14.078,36.932,0.0
21,8skk-model-21_A_Z,12.689,36.122,0.0
22,8skk-model-22_A_Z,12.659,31.061,0.0
23,8skk-model-23_A_Z,14.178,34.819,0.0
24,8skk-model-24_A_Z,14.981,37.423,0.0
25,8skk-model-25_A_Z,13.796,32.67,0.0
26,8skk-model-26_A_Z,9.09,21.579,0.0
27,8skk-model-27_A_Z,10.835,18.172,0.0
28,8skk-model-28_A_Z,15.88,40.233,0.0
29,8skk-model-29_A_Z,11.683,23.836,0.0
30,8skk-model-30_A_Z,15.027,36.161,0.0
31,8skk-model-31_A_Z,13.117,37.541,0.0
32,8skk-model-32_A_Z,11.338,24.27,0.1
33,8skk-model-33_A_Z,10.858,35.147,0.0
34,8skk-model-34_A_Z,14.959,37.278,0.0
35,8skk-model-35_A_Z,10.178,17.394,0.016667
36,8skk-model-36_A_Z,9.648,18.716,0.033333
37,8skk-model-37_A_Z,14.631,37.67,0.0
38,8skk-model-38_A_Z,16.154,42.6,0.0
39,8skk-model-39_A_Z,13.591,38.158,0.0
40,8skk-model-40_A_Z,10.75,24.414,0.0
41,8skk-model-41_A_Z,13.222,34.267,0.0
42,8skk-model-42_A_Z,11.934,22.199,0.0
43,8skk-model-43_A_Z,14.367,36.396,0.0
44,8skk-model-44_A_Z,14.051,35.634,0.033333
45,8skk-model-45_A_Z,11.536,23.351,0.083333
46,8skk-model-46_A_Z,16.535,39.571,0.0
47,8skk-model-47_A_Z,13.081,35.833,0.0
48,8skk-model-48_A_Z,11.549,31.938,0.0
49,8skk-model-49_A_Z,12.929,33.691,0.0
50,8skk-model-50_A_Z,12.678,36.264,0.0
51,8skk-model-51_A_Z,15.479,36.827,0.0
52,8skk-model-52_A_Z,11.093,21.397,0.0
53,8skk-model-53_A_Z,11.094,20.516,0.033333
54,8skk-model-54_A_Z,16.62,43.163,0.0
55,8skk-model-55_A_Z,16.827,36.088,0.0
56,8skk-model-56_A_Z,16.247,38.633,0.0
57,8skk-model-57_A_Z,15.274,37.788,0.0
58,8skk-model-58_A_Z,12.204,35.451,0.0
59,8skk-model-59_A_Z,13.815,37.973,0.0
60,8skk-model-60_A_Z,13.138,36.448,0.0
61,8skk-model-61_A_Z,11.192,33.66,0.016667
62,8skk-model-62_A_Z,11.765,27.34,0.05
63,8skk-model-63_A_Z,11.51,22.91,0.0
64,8skk-model-64_A_Z,13.847,31.341,0.0
65,8skk-model-65_A_Z,15.722,44.291,0.0
66,8skk-model-66_A_Z,13.062,37.721,0.0
67,8skk-model-67_A_Z,10.904,23.317,0.016667
68,8skk-model-68_A_Z,16.299,41.29,0.0
69,8skk-model-69_A_Z,10.983,21.788,0.116667
70,8skk-model-70_A_Z,1.879,5.41,0.516667
71,8skk-model-71_A_Z,14.0,36.976,0.0
72,8skk-model-72_A_Z,16.549,35.675,0.0
73,8skk-model-73_A_Z,9.901,16.745,0.0
74,8skk-model-74_A_Z,13.476,38.422,0.016667
75,8skk-model-75_A_Z,14.211,33.45,0.0
76,8skk-model-76_A_Z,15.064,37.65,0.0
77,8skk-model-77_A_Z,12.677,33.957,0.0
78,8skk-model-78_A_Z,15.033,40.437,0.0
79,8skk-model-79_A_Z,11.464,26.148,0.066667
80,8skk-model-80_A_Z,20.091,49.114,0.0
81,8skk-model-81_A_Z,12.054,35.524,0.016667
82,8skk-model-82_A_Z,8.201,16.268,0.0
83,8skk-model-83_A_Z,14.154,33.635,0.0
84,8skk-model-84_A_Z,11.155,20.614,0.0
85,8skk-model-85_A_Z,12.535,22.178,0.0
86,8skk-model-86_A_Z,10.768,18.702,0.0
87,8skk-model-87_A_Z,14.204,37.735,0.0
88,8skk-model-88_A_Z,16.792,39.096,0.0
89,8skk-model-89_A_Z,12.417,37.43,0.0
90,8skk-model-90_A_Z,13.844,33.965,0.0
91,8skk-model-91_A_Z,11.86,36.166,0.0
92,8skk-model-92_A_Z,11.3,36.107,0.033333
93,8skk-model-93_A_Z,5.967,12.338,0.0
94,8skk-model-94_A_Z,15.24,43.564,0.0
95,8skk-model-95_A_Z,12.973,28.275,0.0
96,8skk-model-96_A_Z,11.436,24.026,0.016667
97,8skk-model-97_A_Z,11.39,31.747,0.0
98,8skk-model-98_A_Z,15.855,39.81,0.0
99,8skk-model-99_A_Z,7.412,22.409,0.0
100,8skk-model-100_A_Z,13.421,38.889,0.0
