model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8adb-model-1_A_Z,0.21,0.463,0.951807
2,8adb-model-2_A_Z,19.668,60.063,0.0
3,8adb-model-3_A_Z,7.237,13.985,0.012048
4,8adb-model-4_A_Z,19.438,58.915,0.0
5,8adb-model-5_A_Z,17.101,53.619,0.0
6,8adb-model-6_A_Z,3.687,12.124,0.421687
7,8adb-model-7_A_Z,15.41,39.199,0.0
8,8adb-model-8_A_Z,13.802,37.311,0.0
9,8adb-model-9_A_Z,7.503,17.187,0.0
10,8adb-model-10_A_Z,16.941,49.618,0.0
11,8adb-model-11_A_Z,17.755,57.486,0.0
12,8adb-model-12_A_Z,10.99,19.796,0.0
13,8adb-model-13_A_Z,10.48,19.669,0.012048
14,8adb-model-14_A_Z,12.717,40.556,0.0
15,8adb-model-15_A_Z,8.701,19.612,0.072289
16,8adb-model-16_A_Z,8.782,14.839,0.060241
17,8adb-model-17_A_Z,12.739,39.291,0.024096
18,8adb-model-18_A_Z,19.005,52.363,0.0
19,8adb-model-19_A_Z,18.093,56.205,0.0
20,8adb-model-20_A_Z,11.856,32.828,0.0
21,8adb-model-21_A_Z,20.497,61.954,0.0
22,8adb-model-22_A_Z,6.361,11.741,0.13253
23,8adb-model-23_A_Z,12.393,39.916,0.012048
24,8adb-model-24_A_Z,18.615,46.393,0.0
25,8adb-model-25_A_Z,13.423,28.23,0.012048
26,8adb-model-26_A_Z,13.771,36.51,0.0
27,8adb-model-27_A_Z,17.538,51.504,0.0
28,8adb-model-28_A_Z,7.325,14.614,0.0
29,8adb-model-29_A_Z,14.634,44.18,0.0
30,8adb-model-30_A_Z,2.162,6.891,0.373494
31,8adb-model-31_A_Z,17.424,56.678,0.0
32,8adb-model-32_A_Z,16.307,47.542,0.0
33,8adb-model-33_A_Z,16.142,40.352,0.0
34,8adb-model-34_A_Z,16.103,51.045,0.0
35,8adb-model-35_A_Z,11.783,36.438,0.0
36,8adb-model-36_A_Z,22.429,59.283,0.0
37,8adb-model-37_A_Z,17.663,49.176,0.0
38,8adb-model-38_A_Z,15.346,38.381,0.0
39,8adb-model-39_A_Z,7.781,12.895,0.072289
40,8adb-model-40_A_Z,14.337,36.485,0.0
41,8adb-model-41_A_Z,8.301,17.71,0.048193
42,8adb-model-42_A_Z,10.377,19.31,0.036145
43,8adb-model-43_A_Z,19.345,59.985,0.0
44,8adb-model-44_A_Z,10.242,20.682,0.012048
45,8adb-model-45_A_Z,11.393,23.188,0.024096
46,8adb-model-46_A_Z,19.085,58.04,0.0
47,8adb-model-47_A_Z,15.575,43.702,0.0
48,8adb-model-48_A_Z,12.986,36.126,0.012048
49,8adb-model-49_A_Z,15.019,38.854,0.0
50,8adb-model-50_A_Z,19.714,54.858,0.0
51,8adb-model-51_A_Z,10.39,19.124,0.024096
52,8adb-model-52_A_Z,15.581,49.106,0.0
53,8adb-model-53_A_Z,16.12,42.678,0.0
54,8adb-model-54_A_Z,17.932,53.973,0.0
55,8adb-model-55_A_Z,13.01,37.317,0.012048
56,8adb-model-56_A_Z,14.396,41.445,0.0
57,8adb-model-57_A_Z,18.742,46.587,0.0
58,8adb-model-58_A_Z,14.349,43.527,0.0
59,8adb-model-59_A_Z,13.86,37.493,0.0
60,8adb-model-60_A_Z,12.46,32.811,0.048193
61,8adb-model-61_A_Z,19.93,57.978,0.0
62,8adb-model-62_A_Z,14.104,38.408,0.0
63,8adb-model-63_A_Z,19.545,55.891,0.0
64,8adb-model-64_A_Z,18.077,54.339,0.0
65,8adb-model-65_A_Z,14.954,33.985,0.012048
66,8adb-model-66_A_Z,19.032,53.998,0.0
67,8adb-model-67_A_Z,18.49,54.306,0.0
68,8adb-model-68_A_Z,14.146,37.364,0.0
69,8adb-model-69_A_Z,17.433,47.428,0.0
70,8adb-model-70_A_Z,14.913,39.451,0.0
71,8adb-model-71_A_Z,10.132,20.356,0.024096
72,8adb-model-72_A_Z,15.448,42.892,0.0
73,8adb-model-73_A_Z,18.485,55.606,0.0
74,8adb-model-74_A_Z,22.742,59.506,0.0
75,8adb-model-75_A_Z,14.467,39.722,0.0
76,8adb-model-76_A_Z,12.333,25.31,0.0
77,8adb-model-77_A_Z,19.639,60.109,0.0
78,8adb-model-78_A_Z,12.46,34.675,0.0
79,8adb-model-79_A_Z,12.185,24.554,0.0
80,8adb-model-80_A_Z,16.144,49.745,0.0
81,8adb-model-81_A_Z,14.298,37.083,0.0
82,8adb-model-82_A_Z,18.015,54.174,0.0
83,8adb-model-83_A_Z,13.603,39.111,0.0
84,8adb-model-84_A_Z,20.627,58.933,0.0
85,8adb-model-85_A_Z,13.857,40.152,0.0
86,8adb-model-86_A_Z,18.8,58.549,0.0
87,8adb-model-87_A_Z,16.137,40.753,0.0
88,8adb-model-88_A_Z,9.667,21.126,0.024096
89,8adb-model-89_A_Z,11.671,36.425,0.0
90,8adb-model-90_A_Z,15.234,46.204,0.0
91,8adb-model-91_A_Z,16.114,47.801,0.0
92,8adb-model-92_A_Z,18.655,48.956,0.0
93,8adb-model-93_A_Z,19.247,57.771,0.0
94,8adb-model-94_A_Z,21.378,60.03,0.0
95,8adb-model-95_A_Z,10.48,25.399,0.0
96,8adb-model-96_A_Z,14.575,41.314,0.0
97,8adb-model-97_A_Z,10.215,30.058,0.0
98,8adb-model-98_A_Z,11.132,29.895,0.0
99,8adb-model-99_A_Z,19.176,60.555,0.0
100,8adb-model-100_A_Z,18.457,51.068,0.0
