model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8gtj-model-1_A_Z,0.222,0.593,0.970149
2,8gtj-model-2_A_Z,24.334,60.003,0.0
3,8gtj-model-3_A_Z,12.427,52.348,0.0
4,8gtj-model-4_A_Z,21.62,54.641,0.0
5,8gtj-model-5_A_Z,25.224,62.522,0.0
6,8gtj-model-6_A_Z,17.667,44.333,0.0
7,8gtj-model-7_A_Z,22.241,51.54,0.0
8,8gtj-model-8_A_Z,23.035,62.727,0.0
9,8gtj-model-9_A_Z,18.474,61.344,0.0
10,8gtj-model-10_A_Z,15.833,42.5,0.0
11,8gtj-model-11_A_Z,19.805,49.849,0.0
12,8gtj-model-12_A_Z,27.415,74.547,0.0
13,8gtj-model-13_A_Z,21.431,64.968,0.0
14,8gtj-model-14_A_Z,15.233,51.203,0.0
15,8gtj-model-15_A_Z,13.281,54.484,0.0
16,8gtj-model-16_A_Z,11.959,33.085,0.014925
17,8gtj-model-17_A_Z,19.224,50.989,0.0
18,8gtj-model-18_A_Z,22.635,78.683,0.0
19,8gtj-model-19_A_Z,22.149,52.802,0.0
20,8gtj-model-20_A_Z,19.268,57.935,0.0
21,8gtj-model-21_A_Z,19.088,62.185,0.014925
22,8gtj-model-22_A_Z,20.468,66.589,0.0
23,8gtj-model-23_A_Z,19.341,58.485,0.0
24,8gtj-model-24_A_Z,21.471,53.756,0.0
25,8gtj-model-25_A_Z,21.957,58.939,0.0
26,8gtj-model-26_A_Z,24.96,80.227,0.0
27,8gtj-model-27_A_Z,19.982,63.603,0.0
28,8gtj-model-28_A_Z,18.393,51.95,0.0
29,8gtj-model-29_A_Z,22.257,65.982,0.0
30,8gtj-model-30_A_Z,9.562,27.666,0.0
31,8gtj-model-31_A_Z,14.678,49.535,0.0
32,8gtj-model-32_A_Z,34.683,89.19,0.0
33,8gtj-model-33_A_Z,17.391,41.129,0.029851
34,8gtj-model-34_A_Z,19.557,66.467,0.0
35,8gtj-model-35_A_Z,18.468,56.763,0.0
36,8gtj-model-36_A_Z,22.562,60.761,0.0
37,8gtj-model-37_A_Z,24.781,59.528,0.0
38,8gtj-model-38_A_Z,20.576,58.334,0.0
39,8gtj-model-39_A_Z,16.705,54.685,0.0
40,8gtj-model-40_A_Z,26.427,79.28,0.0
41,8gtj-model-41_A_Z,11.514,49.953,0.0
42,8gtj-model-42_A_Z,19.666,58.802,0.0
43,8gtj-model-43_A_Z,17.449,53.83,0.0
44,8gtj-model-44_A_Z,17.93,55.608,0.0
45,8gtj-model-45_A_Z,23.672,65.814,0.0
46,8gtj-model-46_A_Z,17.629,53.315,0.0
47,8gtj-model-47_A_Z,18.528,32.288,0.0
48,8gtj-model-48_A_Z,18.959,56.938,0.0
49,8gtj-model-49_A_Z,10.15,29.336,0.0
50,8gtj-model-50_A_Z,9.772,22.626,0.029851
51,8gtj-model-51_A_Z,23.328,72.671,0.0
52,8gtj-model-52_A_Z,16.866,55.475,0.0
53,8gtj-model-53_A_Z,21.212,61.813,0.0
54,8gtj-model-54_A_Z,16.476,69.677,0.0
55,8gtj-model-55_A_Z,16.638,44.263,0.0
56,8gtj-model-56_A_Z,18.65,45.678,0.0
57,8gtj-model-57_A_Z,23.168,68.89,0.0
58,8gtj-model-58_A_Z,24.362,71.764,0.0
59,8gtj-model-59_A_Z,21.429,67.686,0.0
60,8gtj-model-60_A_Z,24.604,57.233,0.0
61,8gtj-model-61_A_Z,16.372,43.941,0.029851
62,8gtj-model-62_A_Z,24.002,63.473,0.0
63,8gtj-model-63_A_Z,20.78,65.099,0.0
64,8gtj-model-64_A_Z,17.594,72.159,0.0
65,8gtj-model-65_A_Z,18.867,62.401,0.0
66,8gtj-model-66_A_Z,19.439,61.506,0.0
67,8gtj-model-67_A_Z,22.91,82.007,0.0
68,8gtj-model-68_A_Z,16.048,43.772,0.0
69,8gtj-model-69_A_Z,16.704,52.299,0.0
70,8gtj-model-70_A_Z,20.59,57.047,0.0
71,8gtj-model-71_A_Z,19.2,53.226,0.0
72,8gtj-model-72_A_Z,14.277,48.594,0.0
73,8gtj-model-73_A_Z,27.571,67.604,0.0
74,8gtj-model-74_A_Z,18.85,63.471,0.0
75,8gtj-model-75_A_Z,19.074,57.576,0.0
76,8gtj-model-76_A_Z,12.908,50.387,0.0
77,8gtj-model-77_A_Z,24.669,67.519,0.0
78,8gtj-model-78_A_Z,21.797,50.527,0.0
79,8gtj-model-79_A_Z,28.935,75.515,0.0
80,8gtj-model-80_A_Z,20.423,58.733,0.0
81,8gtj-model-81_A_Z,20.183,63.801,0.0
82,8gtj-model-82_A_Z,22.2,60.469,0.0
83,8gtj-model-83_A_Z,20.351,66.936,0.0
84,8gtj-model-84_A_Z,23.703,82.172,0.0
85,8gtj-model-85_A_Z,17.624,53.43,0.0
86,8gtj-model-86_A_Z,20.617,61.077,0.0
87,8gtj-model-87_A_Z,10.825,32.614,0.0
88,8gtj-model-88_A_Z,21.523,55.137,0.0
89,8gtj-model-89_A_Z,20.839,63.538,0.0
90,8gtj-model-90_A_Z,22.281,57.48,0.0
91,8gtj-model-91_A_Z,17.055,44.874,0.0
92,8gtj-model-92_A_Z,21.721,82.577,0.0
93,8gtj-model-93_A_Z,21.202,53.137,0.0
94,8gtj-model-94_A_Z,15.785,64.116,0.0
95,8gtj-model-95_A_Z,24.912,71.57,0.0
96,8gtj-model-96_A_Z,23.703,72.477,0.0
97,8gtj-model-97_A_Z,32.752,87.718,0.0
98,8gtj-model-98_A_Z,17.434,44.22,0.0
99,8gtj-model-99_A_Z,22.74,56.73,0.0
100,8gtj-model-100_A_Z,30.355,79.125,0.0
