model_i,model_PPI,iRMSD,lRMSD,FNAT
1,8dy1-model-1_A_Z,20.675,55.909,0.0
2,8dy1-model-2_A_Z,11.767,29.269,0.0
3,8dy1-model-3_A_Z,15.822,40.806,0.0
4,8dy1-model-4_A_Z,16.871,57.371,0.0
5,8dy1-model-5_A_Z,1.841,8.001,0.75
6,8dy1-model-6_A_Z,21.693,60.278,0.0
7,8dy1-model-7_A_Z,18.458,61.467,0.0
8,8dy1-model-8_A_Z,19.567,57.796,0.0
9,8dy1-model-9_A_Z,20.83,56.182,0.0
10,8dy1-model-10_A_Z,15.475,46.099,0.0
11,8dy1-model-11_A_Z,15.765,46.373,0.0
12,8dy1-model-12_A_Z,15.959,33.844,0.0
13,8dy1-model-13_A_Z,19.037,53.981,0.0
14,8dy1-model-14_A_Z,19.565,63.09,0.0
15,8dy1-model-15_A_Z,17.823,57.778,0.0
16,8dy1-model-16_A_Z,19.836,62.373,0.0
17,8dy1-model-17_A_Z,17.861,48.784,0.0
18,8dy1-model-18_A_Z,11.039,24.815,0.0
19,8dy1-model-19_A_Z,12.995,32.524,0.0
20,8dy1-model-20_A_Z,6.126,14.081,0.0625
21,8dy1-model-21_A_Z,18.669,64.174,0.0
22,8dy1-model-22_A_Z,18.301,61.777,0.0
23,8dy1-model-23_A_Z,18.858,64.144,0.0
24,8dy1-model-24_A_Z,17.533,57.94,0.0
25,8dy1-model-25_A_Z,16.472,34.365,0.0
26,8dy1-model-26_A_Z,16.664,51.105,0.0
27,8dy1-model-27_A_Z,14.136,45.888,0.03125
28,8dy1-model-28_A_Z,22.747,66.959,0.0
29,8dy1-model-29_A_Z,13.786,47.87,0.0
30,8dy1-model-30_A_Z,12.325,42.008,0.0
31,8dy1-model-31_A_Z,15.736,54.004,0.0
32,8dy1-model-32_A_Z,16.414,50.675,0.0
33,8dy1-model-33_A_Z,12.477,34.151,0.0
34,8dy1-model-34_A_Z,20.918,61.595,0.0
35,8dy1-model-35_A_Z,11.821,40.475,0.0
36,8dy1-model-36_A_Z,19.551,64.17,0.0
37,8dy1-model-37_A_Z,20.515,57.956,0.0
38,8dy1-model-38_A_Z,17.354,50.837,0.0
39,8dy1-model-39_A_Z,7.978,21.193,0.0
40,8dy1-model-40_A_Z,15.256,29.829,0.0
41,8dy1-model-41_A_Z,18.257,57.674,0.0
42,8dy1-model-42_A_Z,15.699,42.276,0.0
43,8dy1-model-43_A_Z,19.977,60.053,0.0
44,8dy1-model-44_A_Z,20.353,63.898,0.0
45,8dy1-model-45_A_Z,13.87,47.072,0.0
46,8dy1-model-46_A_Z,12.821,35.42,0.0
47,8dy1-model-47_A_Z,17.98,63.892,0.0
48,8dy1-model-48_A_Z,13.534,44.652,0.0
49,8dy1-model-49_A_Z,7.956,26.332,0.0
50,8dy1-model-50_A_Z,14.773,37.144,0.0
51,8dy1-model-51_A_Z,13.415,48.188,0.0
52,8dy1-model-52_A_Z,21.124,57.155,0.0
53,8dy1-model-53_A_Z,16.369,43.165,0.0
54,8dy1-model-54_A_Z,13.113,42.209,0.0
55,8dy1-model-55_A_Z,17.457,53.138,0.0
56,8dy1-model-56_A_Z,16.376,55.625,0.0
57,8dy1-model-57_A_Z,18.59,57.121,0.0
58,8dy1-model-58_A_Z,18.847,61.127,0.0
59,8dy1-model-59_A_Z,15.157,40.897,0.0
60,8dy1-model-60_A_Z,16.031,42.643,0.0
61,8dy1-model-61_A_Z,17.635,60.128,0.0
62,8dy1-model-62_A_Z,15.509,56.297,0.0
63,8dy1-model-63_A_Z,17.101,55.554,0.0
64,8dy1-model-64_A_Z,19.591,42.708,0.0
65,8dy1-model-65_A_Z,15.836,52.144,0.0
66,8dy1-model-66_A_Z,13.804,49.489,0.0
67,8dy1-model-67_A_Z,18.678,60.83,0.0
68,8dy1-model-68_A_Z,14.227,49.089,0.0
69,8dy1-model-69_A_Z,19.679,63.246,0.0
70,8dy1-model-70_A_Z,15.552,42.026,0.0
71,8dy1-model-71_A_Z,20.015,56.027,0.0
72,8dy1-model-72_A_Z,12.316,37.362,0.03125
73,8dy1-model-73_A_Z,18.427,67.086,0.0
74,8dy1-model-74_A_Z,12.091,29.918,0.0
75,8dy1-model-75_A_Z,17.016,37.122,0.0
76,8dy1-model-76_A_Z,15.657,45.86,0.0
77,8dy1-model-77_A_Z,21.035,63.511,0.0
78,8dy1-model-78_A_Z,13.408,41.757,0.0
79,8dy1-model-79_A_Z,10.831,25.7,0.0
80,8dy1-model-80_A_Z,19.339,55.16,0.0
81,8dy1-model-81_A_Z,17.513,46.051,0.0
82,8dy1-model-82_A_Z,21.806,63.377,0.0
83,8dy1-model-83_A_Z,17.007,55.102,0.0
84,8dy1-model-84_A_Z,16.1,34.174,0.0
85,8dy1-model-85_A_Z,17.537,57.183,0.0
86,8dy1-model-86_A_Z,17.406,46.734,0.0
87,8dy1-model-87_A_Z,15.653,31.691,0.0
88,8dy1-model-88_A_Z,20.77,60.786,0.0
89,8dy1-model-89_A_Z,13.215,26.71,0.0
90,8dy1-model-90_A_Z,18.098,61.397,0.0
91,8dy1-model-91_A_Z,20.728,61.664,0.0
92,8dy1-model-92_A_Z,16.317,50.446,0.0
93,8dy1-model-93_A_Z,14.7,35.699,0.0
94,8dy1-model-94_A_Z,18.2,59.244,0.0
95,8dy1-model-95_A_Z,13.73,32.708,0.0
96,8dy1-model-96_A_Z,9.977,31.3,0.0625
97,8dy1-model-97_A_Z,10.77,30.074,0.0
98,8dy1-model-98_A_Z,11.319,35.881,0.0
99,8dy1-model-99_A_Z,16.338,45.208,0.0
100,8dy1-model-100_A_Z,17.147,43.725,0.0
